Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15
83400,25.46854917,83.63727843,884,1,33,30,31,30,30,0,0,0,0,0,0,0,0,0,0
190800,25.44983799,81.17101902,861,1,31,29,30,32,33,0,0,0,0,0,0,0,0,0,0
131600,23.86955889,99.51449345,807,1,27,32,36,39,28,0,0,0,0,0,0,0,0,0,0
122400,23.28794502,87.2779356,734,1,39,37,34,32,33,0,0,0,0,0,0,0,0,0,0
149400,26.38661582,96.59973903,777,1,32,40,30,33,26,0,0,0,0,0,0,0,0,0,0
123800,26.42198493,95.70005354,736,1,32,24,29,35,28,0,0,0,0,0,0,0,0,0,0
10900,25.49183863,92.79710871,1006,1,28,43,36,32,32,0,0,0,0,0,0,0,0,0,0
44900,27.63745615,95.04001148,1001,1,27,30,31,28,37,0,0,0,0,0,0,0,0,0,0
89100,23.57595777,81.4727864,845,1,32,29,33,35,38,0,0,0,0,0,0,0,0,0,0
129600,25.92619872,82.58706154,751,1,21,32,25,35,24,0,0,0,0,0,0,0,0,0,0
194500,25.86123887,89.13129561,871,1,36,35,25,37,32,0,0,0,0,0,0,0,0,0,0
70500,27.76200642,86.79216527,819,1,35,32,34,31,35,0,0,0,0,0,0,0,0,0,0
168400,22.20042405,98.88731182,750,1,32,31,35,36,34,0,0,0,0,0,0,0,0,0,0
170400,26.96719131,87.25844045,777,1,31,34,37,27,32,0,0,0,0,0,0,0,0,0,0
15400,25.32662301,88.86128811,977,1,37,36,31,33,32,0,0,0,0,0,0,0,0,0,0
25700,24.28886929,89.09771681,767,1,36,29,23,30,34,0,0,0,0,0,0,0,0,0,0
121900,24.71185993,96.7944325,790,1,32,35,25,31,35,0,0,0,0,0,0,0,0,0,0
199600,27.90256551,80.26117309,771,1,37,29,41,36,36,0,0,0,0,0,0,0,0,0,0
141500,22.4034551,81.28962112,784,1,34,29,36,34,37,0,0,0,0,0,0,0,0,0,0
51100,24.27514718,95.23357263,1016,1,29,25,36,31,31,0,0,0,0,0,0,0,0,0,0
103400,22.19411606,85.19036752,900,1,31,30,37,24,38,0,0,0,0,0,0,0,0,0,0
142300,24.7131496,94.54429517,727,1,37,28,42,33,32,0,0,0,0,0,0,0,0,0,0
122500,27.6891061,81.00276871,950,1,37,34,32,33,36,0,0,0,0,0,0,0,0,0,0
75600,24.55965277,95.83686922,828,1,34,29,33,36,36,0,0,0,0,0,0,0,0,0,0
86200,23.36009404,98.78017033,967,1,28,31,26,36,34,0,0,0,0,0,0,0,0,0,0
84200,24.62555352,89.18821055,913,1,32,36,36,34,31,0,0,0,0,0,0,0,0,0,0
117500,24.93839711,84.59922371,961,1,35,42,32,35,35,0,0,0,0,0,0,0,0,0,0
12100,22.11418581,94.63411764,862,1,28,32,35,29,33,0,0,0,0,0,0,0,0,0,0
179600,24.52692794,90.81399661,911,1,32,34,26,40,30,0,0,0,0,0,0,0,0,0,0
129700,22.95563878,90.92799902,919,1,34,30,33,38,36,0,0,0,0,0,0,0,0,0,0
67700,22.06688384,95.53605036,794,1,34,28,41,32,34,0,0,0,0,0,0,0,0,0,0
72000,25.75086835,85.35924543,705,1,37,34,37,36,32,0,0,0,0,0,0,0,0,0,0
83300,23.02562702,80.65953253,878,1,36,35,37,34,28,0,0,0,0,0,0,0,0,0,0
39200,25.04149781,83.24648124,833,1,34,33,32,35,29,0,0,0,0,0,0,0,0,0,0
69000,22.64417732,80.0479124,935,1,30,28,29,33,34,0,0,0,0,0,0,0,0,0,0
90700,23.40483875,98.74078746,703,1,35,35,26,37,33,0,0,0,0,0,0,0,0,0,0
82200,24.36495598,88.54738826,704,1,30,37,31,20,36,0,0,0,0,0,0,0,0,0,0
8200,26.31570141,98.78438946,917,1,31,31,37,34,35,0,0,0,0,0,0,0,0,0,0
72100,25.00085609,89.19860936,957,1,38,34,35,33,34,0,0,0,0,0,0,0,0,0,0
177200,24.81134619,84.93119754,799,1,35,43,28,30,35,0,0,0,0,0,0,0,0,0,0
91500,22.88241344,97.85004257,728,1,33,31,34,36,37,0,0,0,0,0,0,0,0,0,0
160600,26.29448884,85.69366036,895,1,29,30,33,33,31,0,0,0,0,0,0,0,0,0,0
11700,25.91729449,92.0762168,767,1,36,32,40,36,31,0,0,0,0,0,0,0,0,0,0
7500,24.7040444,92.99548055,877,1,31,33,30,37,32,0,0,0,0,0,0,0,0,0,0
148500,27.22630655,91.80894843,724,1,38,31,31,32,33,0,0,0,0,0,0,0,0,0,0
37700,24.82266632,85.52571931,719,1,29,36,35,26,34,0,0,0,0,0,0,0,0,0,0
185800,22.15768425,82.0559532,706,1,35,29,31,38,29,0,0,0,0,0,0,0,0,0,0
38500,23.11695757,80.76384854,949,1,25,27,33,36,31,0,0,0,0,0,0,0,0,0,0
23300,24.15784357,87.10186075,939,1,37,32,37,30,31,0,0,0,0,0,0,0,0,0,0
164100,22.87487243,83.99176887,732,1,31,37,28,33,39,0,0,0,0,0,0,0,0,0,0
185900,24.46773352,85.08782838,725,1,40,38,42,33,38,0,0,0,0,0,0,0,0,0,0
195200,23.27905134,86.35689581,879,1,30,36,23,28,26,24,31,0,0,0,0,0,0,0,0
144500,27.60843514,80.6152306,1021,1,34,36,35,37,28,26,41,38,0,0,0,0,0,0,0
163800,23.46472638,84.24778674,839,1,25,31,40,32,38,32,34,35,0,0,0,0,0,0,0
121400,22.83062027,85.44359575,1008,1,36,34,30,30,33,34,40,29,0,0,0,0,0,0,0
158000,27.65580455,88.32268097,971,1,33,31,36,29,30,29,36,40,0,0,0,0,0,0,0
91100,24.99666875,89.55919287,725,1,29,32,37,36,30,37,27,0,0,0,0,0,0,0,0
81200,27.92534789,89.25339341,979,1,29,38,29,30,31,39,39,38,0,0,0,0,0,0,0
48700,27.83617319,99.48859055,970,1,37,38,35,34,30,33,35,34,0,0,0,0,0,0,0
78300,23.59120233,97.8156133,859,1,31,35,35,35,33,30,37,35,0,0,0,0,0,0,0
139700,27.71562245,99.8245711,752,1,37,30,32,35,32,36,31,34,0,0,0,0,0,0,0
