Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15
104300,25.6448639,76.98268594,506,1,44,42,41,42,38,0,0,0,0,0,0,0,0,0,0
139200,29.38225514,77.05458046,390,1,43,42,39,43,40,0,0,0,0,0,0,0,0,0,0
109100,31.29124536,79.84351591,538,1,44,45,43,45,42,0,0,0,0,0,0,0,0,0,0
198400,29.69478102,76.87924849,406,1,45,39,42,42,40,0,0,0,0,0,0,0,0,0,0
113800,29.12442618,61.50056715,474,1,39,40,44,36,39,0,0,0,0,0,0,0,0,0,0
77700,25.92036511,73.00599346,473,1,39,39,44,38,45,0,0,0,0,0,0,0,0,0,0
180300,30.83677562,72.80587834,489,1,43,44,46,35,43,0,0,0,0,0,0,0,0,0,0
48300,27.76465078,73.96312006,329,1,41,42,42,44,36,0,0,0,0,0,0,0,0,0,0
21900,28.03559446,78.0516378,401,1,43,33,41,44,46,0,0,0,0,0,0,0,0,0,0
102200,29.99634987,63.80685082,451,1,39,43,46,42,44,0,0,0,0,0,0,0,0,0,0
52600,27.14665911,75.78904002,479,1,38,43,41,41,39,0,0,0,0,0,0,0,0,0,0
107700,28.66591407,65.59282758,335,1,45,40,38,44,34,0,0,0,0,0,0,0,0,0,0
193000,25.58600086,61.41433569,315,1,40,41,38,37,40,0,0,0,0,0,0,0,0,0,0
72600,29.92146814,70.15742095,464,1,39,41,41,41,39,0,0,0,0,0,0,0,0,0,0
91400,30.85049329,74.04512054,504,1,40,39,40,39,45,0,0,0,0,0,0,0,0,0,0
199300,29.42574254,70.67478695,400,1,45,46,37,41,45,0,0,0,0,0,0,0,0,0,0
32700,25.16031371,61.0695692,414,1,39,44,41,41,35,0,0,0,0,0,0,0,0,0,0
197100,31.92523855,78.43065947,374,1,41,46,45,39,41,0,0,0,0,0,0,0,0,0,0
22800,26.06269792,72.45979644,571,1,40,44,38,41,38,0,0,0,0,0,0,0,0,0,0
195500,31.80924833,60.01410024,304,1,43,36,42,41,37,0,0,0,0,0,0,0,0,0,0
163000,29.6313919,78.34763521,577,1,41,38,42,44,45,0,0,0,0,0,0,0,0,0,0
20400,25.25114107,62.8243067,552,1,42,37,37,40,47,0,0,0,0,0,0,0,0,0,0
42500,27.85761149,60.03640572,434,1,40,38,44,44,41,0,0,0,0,0,0,0,0,0,0
71300,29.75770587,75.71885591,503,1,37,41,43,39,35,0,0,0,0,0,0,0,0,0,0
11500,31.63686647,70.48501167,585,1,35,43,48,33,41,0,0,0,0,0,0,0,0,0,0
173700,30.69029698,60.73646801,440,1,39,43,41,39,42,0,0,0,0,0,0,0,0,0,0
39500,29.13601024,75.22407199,507,1,44,43,40,44,36,0,0,0,0,0,0,0,0,0,0
39400,30.05047954,71.51412171,578,1,42,40,40,43,42,0,0,0,0,0,0,0,0,0,0
110500,25.93050116,71.01785721,343,1,38,37,42,38,42,0,0,0,0,0,0,0,0,0,0
123300,31.15214795,65.18360097,581,1,41,38,42,36,46,0,0,0,0,0,0,0,0,0,0
25600,28.0254515,75.33534232,581,1,42,37,43,37,35,0,0,0,0,0,0,0,0,0,0
165600,28.50963158,67.80424482,420,1,40,40,40,39,49,0,0,0,0,0,0,0,0,0,0
166900,26.42919872,64.58196463,477,1,44,44,47,39,43,0,0,0,0,0,0,0,0,0,0
98700,28.77358636,70.53686072,481,1,44,39,41,40,36,0,0,0,0,0,0,0,0,0,0
150600,29.4629528,78.98453767,386,1,41,40,44,43,46,0,0,0,0,0,0,0,0,0,0
192200,25.22991418,60.6000221,405,1,37,39,38,40,41,0,0,0,0,0,0,0,0,0,0
160400,28.17313111,62.88241224,338,1,42,41,42,37,42,0,0,0,0,0,0,0,0,0,0
150500,26.89406499,76.32118458,365,1,38,35,33,46,42,0,0,0,0,0,0,0,0,0,0
105200,28.2837529,70.99472704,581,1,37,44,40,42,39,0,0,0,0,0,0,0,0,0,0
182700,31.57927887,66.83138448,382,1,41,42,43,41,43,0,0,0,0,0,0,0,0,0,0
45900,28.7454072,70.65273144,357,1,39,40,46,41,46,0,0,0,0,0,0,0,0,0,0
140000,28.76767064,77.33819056,305,1,41,40,44,42,38,0,0,0,0,0,0,0,0,0,0
55800,30.78297991,63.26046559,457,1,40,38,33,39,43,0,0,0,0,0,0,0,0,0,0
194800,31.07616605,72.90388672,454,1,40,45,39,39,39,0,0,0,0,0,0,0,0,0,0
106600,31.72379596,74.77303786,488,1,42,44,42,39,40,0,0,0,0,0,0,0,0,0,0
78500,28.64348895,64.66950281,315,1,43,40,41,43,42,0,0,0,0,0,0,0,0,0,0
47700,27.19163051,62.64332213,320,1,45,39,40,43,42,0,0,0,0,0,0,0,0,0,0
91800,26.66091315,68.12057084,305,1,42,41,44,42,37,0,0,0,0,0,0,0,0,0,0
113300,25.86024378,78.63906245,415,1,41,44,37,36,39,0,0,0,0,0,0,0,0,0,0
114100,25.63389278,73.72557733,441,1,41,42,39,37,41,0,0,0,0,0,0,0,0,0,0
81500,30.69065982,78.5301484,587,1,37,41,40,41,38,0,0,0,0,0,0,0,0,0,0
