Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15
125600,31.60419781,53.84147294,7,0,51,51,48,55,48,0,0,0,0,0,0,0,0,0,0
103400,30.61562561,45.55705552,17,0,51,55,52,50,48,0,0,0,0,0,0,0,0,0,0
19300,35.06481166,51.20881262,73,0,49,47,51,48,50,0,0,0,0,0,0,0,0,0,0
46900,37.70578032,50.86049168,88,0,49,50,49,47,53,0,0,0,0,0,0,0,0,0,0
156500,33.38990603,54.50012153,2,0,48,51,53,49,48,0,0,0,0,0,0,0,0,0,0
32900,31.98184792,41.02270763,81,0,52,51,50,49,54,0,0,0,0,0,0,0,0,0,0
187700,34.06688438,57.58660431,67,0,50,48,49,51,53,0,0,0,0,0,0,0,0,0,0
4200,30.27510817,50.46781823,47,0,45,48,53,54,50,0,0,0,0,0,0,0,0,0,0
127600,31.93636013,56.86652336,17,0,52,49,48,49,48,0,0,0,0,0,0,0,0,0,0
171300,33.67840339,52.45379082,95,0,48,48,50,54,48,0,0,0,0,0,0,0,0,0,0
147900,33.48466652,48.037744,30,0,50,51,51,50,53,0,0,0,0,0,0,0,0,0,0
128500,34.14169315,41.51399455,71,0,50,49,51,49,51,0,0,0,0,0,0,0,0,0,0
54100,34.84939708,55.32231866,52,0,51,50,52,52,50,0,0,0,0,0,0,0,0,0,0
7400,35.65485875,57.5916371,68,0,49,48,48,49,50,0,0,0,0,0,0,0,0,0,0
33000,32.84778143,45.15214441,28,0,49,49,51,46,51,0,0,0,0,0,0,0,0,0,0
13700,35.62415167,54.62992981,32,0,49,47,47,51,48,0,0,0,0,0,0,0,0,0,0
59300,32.76533827,50.40339785,31,0,50,51,51,52,53,0,0,0,0,0,0,0,0,0,0
164700,36.60854104,48.59970428,74,0,50,50,50,52,52,0,0,0,0,0,0,0,0,0,0
74900,34.99390397,52.71909414,80,0,51,51,49,51,49,0,0,0,0,0,0,0,0,0,0
86900,37.5689237,47.06100783,81,0,50,49,53,51,50,0,0,0,0,0,0,0,0,0,0
195000,30.70880344,40.47415507,15,0,51,47,50,51,52,0,0,0,0,0,0,0,0,0,0
15200,31.15915898,54.24028041,71,0,51,50,53,52,50,0,0,0,0,0,0,0,0,0,0
175200,30.0969662,46.27756153,11,0,51,54,51,48,51,0,0,0,0,0,0,0,0,0,0
12700,36.88584467,43.31909791,95,0,50,52,46,49,47,0,0,0,0,0,0,0,0,0,0
31000,33.51177137,50.14823877,28,0,50,51,51,50,53,0,0,0,0,0,0,0,0,0,0
161900,35.84520408,43.5024628,19,0,48,49,47,49,52,0,0,0,0,0,0,0,0,0,0
137100,31.44781562,51.90606532,35,0,51,46,49,52,49,0,0,0,0,0,0,0,0,0,0
181900,33.05551712,49.54700796,50,0,52,49,47,47,50,0,0,0,0,0,0,0,0,0,0
68200,31.3671007,40.29386777,94,0,49,55,48,50,50,0,0,0,0,0,0,0,0,0,0
174000,36.62030316,58.0871955,89,0,50,49,49,51,47,0,0,0,0,0,0,0,0,0,0
132300,31.7537119,51.67427175,100,0,53,51,51,50,52,0,0,0,0,0,0,0,0,0,0
145100,34.94277792,53.49572604,24,0,54,50,51,47,49,0,0,0,0,0,0,0,0,0,0
196200,36.71841829,40.57304855,41,0,51,50,51,49,51,0,0,0,0,0,0,0,0,0,0
91000,34.72235954,44.60833324,88,0,44,49,51,53,47,0,0,0,0,0,0,0,0,0,0
43000,31.14393346,52.05885753,68,0,50,51,51,46,50,0,0,0,0,0,0,0,0,0,0
175100,31.72161498,58.18350528,80,0,49,47,51,52,51,0,0,0,0,0,0,0,0,0,0
184500,31.92554169,53.12819207,24,0,48,48,49,50,51,0,0,0,0,0,0,0,0,0,0
141300,30.45669485,47.20853654,5,0,50,50,52,51,46,0,0,0,0,0,0,0,0,0,0
5600,30.70794002,49.24591122,82,0,46,48,51,47,48,0,0,0,0,0,0,0,0,0,0
90400,33.3713964,50.45020362,93,0,54,48,50,50,49,0,0,0,0,0,0,0,0,0,0
8200,32.6471842,49.27862754,63,0,51,47,51,49,51,0,0,0,0,0,0,0,0,0,0
102800,32.55280379,53.42958297,73,0,50,53,47,50,54,0,0,0,0,0,0,0,0,0,0
108600,34.90729111,48.16303382,77,0,48,49,48,50,51,0,0,0,0,0,0,0,0,0,0
168300,36.57984451,44.7386665,21,0,49,51,50,50,48,0,0,0,0,0,0,0,0,0,0
54800,34.16246161,48.14212978,67,0,49,48,52,54,49,0,0,0,0,0,0,0,0,0,0
147400,32.61626529,56.7630995,1,0,49,51,53,52,48,0,0,0,0,0,0,0,0,0,0
