Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15
2088,21.80,92.00,46,1,31,27,28,27,32,27,28,0,0,0,0,0,0,0,0
4080,21.90,92.90,45,1,27,27,28,27,32,27,27,0,0,0,0,0,0,0,0
6074,22.00,92.00,40,1,27,27,27,27,32,27,27,0,0,0,0,0,0,0,0
8074,22.10,91.60,30,1,27,27,27,27,31,26,26,26,0,0,0,0,0,0,0
10077,21.90,92.00,31,1,3,26,26,26,31,25,26,26,0,0,0,0,0,0,0
12076,22.00,92.00,28,1,31,26,26,26,31,26,26,26,0,0,0,0,0,0,0
14071,21.80,92.00,32,1,31,26,26,26,30,26,27,0,0,0,0,0,0,0,0
16074,21.90,92.00,25,1,41,41,35,41,37,35,41,0,0,0,0,0,0,0,0
18075,22.00,92.20,31,1,39,38,38,34,36,36,39,38,0,0,0,0,0,0,0
20076,22.00,92.00,31,1,38,36,38,38,40,38,39,40,40,0,0,0,0,0,0
22072,22.00,92.00,32,1,35,34,41,35,34,38,0,0,0,0,0,0,0,0,0
24076,22.00,92.20,40,1,38,39,41,40,36,42,38,40,0,0,0,0,0,0,0
26075,22.00,92.60,33,1,39,38,39,40,37,42,38,40,0,0,0,0,0,0,0
28075,22.00,92.60,36,1,40,38,39,40,40,39,41,40,0,0,0,0,0,0,0
2072,21.90,82.90,45,1,42,44,42,44,44,41,40,45,0,0,0,0,0,0,0
4072,22.00,91.70,35,1,41,41,42,39,42,42,42,41,0,0,0,0,0,0,0
6072,22.00,91.70,41,1,44,41,43,38,43,42,44,41,0,0,0,0,0,0,0
8072,21.90,91.20,34,1,46,44,44,39,42,44,43,44,0,0,0,0,0,0,0
10072,22.00,92.00,41,1,39,43,40,44,44,40,42,41,0,0,0,0,0,0,0
12072,22.00,91.50,32,1,43,44,41,42,41,45,42,45,0,0,0,0,0,0,0
14072,21.80,91.50,41,1,41,45,45,44,43,43,41,43,0,0,0,0,0,0,0
2142,21.80,91.20,37,1,44,46,44,42,44,42,44,0,0,0,0,0,0,0,0
4139,22.00,91.70,34,1,42,41,41,44,0,0,0,0,0,0,0,0,0,0,0
6136,22.00,91.70,34,1,39,42,45,0,0,0,0,0,0,0,0,0,0,0,0
8137,21.90,92.00,32,1,40,42,45,47,0,0,0,0,0,0,0,0,0,0,0
10139,22.10,91.90,32,1,43,41,40,44,0,0,0,0,0,0,0,0,0,0,0
12140,22.10,91.40,39,1,39,42,40,43,0,0,0,0,0,0,0,0,0,0,0
14137,22.10,91.40,32,1,44,41,45,0,0,0,0,0,0,0,0,0,0,0,0
16137,22.00,91.50,32,1,42,42,46,43,0,0,0,0,0,0,0,0,0,0,0
18142,21.90,91.50,33,1,43,41,43,46,0,0,0,0,0,0,0,0,0,0,0
20139,22.00,91.20,35,1,41,39,46,44,0,0,0,0,0,0,0,0,0,0,0
22138,22.00,91.50,37,1,4,42,41,41,44,0,0,0,0,0,0,0,0,0,0
24137,21.90,91.70,40,1,41,41,41,40,43,0,0,0,0,0,0,0,0,0,0
26139,21.90,91.20,30,1,43,43,47,48,0,0,0,0,0,0,0,0,0,0,0
28139,21.90,91.20,32,1,41,44,40,0,0,0,0,0,0,0,0,0,0,0,0
30138,21.90,91.00,32,1,8,41,40,40,40,0,0,0,0,0,0,0,0,0,0
32138,22.10,91.40,39,1,4,44,41,42,39,0,0,0,0,0,0,0,0,0,0
34114,22.10,91.10,38,1,4,41,40,40,0,0,0,0,0,0,0,0,0,0,0
36130,22.10,91.10,32,1,39,44,41,0,0,0,0,0,0,0,0,0,0,0,0
38139,22.00,91.50,33,1,45,45,43,39,44,41,0,0,0,0,0,0,0,0,0
40140,22.00,91.50,38,1,45,13,19,44,40,44,0,0,0,0,0,0,0,0,0
42078,22.00,91.50,41,1,40,37,38,43,0,0,0,0,0,0,0,0,0,0,0
44138,22.00,91.50,40,1,40,40,39,41,45,0,0,0,0,0,0,0,0,0,0
46125,22.00,91.50,31,1,43,21,43,39,41,0,0,0,0,0,0,0,0,0,0
48139,22.00,91.50,31,1,40,12,44,41,43,41,0,0,0,0,0,0,0,0,0
50139,22.10,91.10,38,1,4,41,40,40,37,0,0,0,0,0,0,0,0,0,0
52077,22.10,91.40,33,1,40,43,42,39,40,40,0,0,0,0,0,0,0,0,0
54128,22.00,91.20,32,1,41,43,44,39,40,39,0,0,0,0,0,0,0,0,0
56089,22.00,91.50,32,1,42,21,39,38,39,38,40,0,0,0,0,0,0,0,0
58071,22.00,91.20,31,1,42,41,44,40,41,0,0,0,0,0,0,0,0,0,0
60077,22.00,91.00,40,1,36,39,44,41,40,0,0,0,0,0,0,0,0,0,0
62067,22.00,91.20,34,1,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0
64070,22.00,91.20,37,1,36,38,32,33,0,0,0,0,0,0,0,0,0,0,0
66067,22.10,90.90,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68066,22.00,91.70,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70068,21.80,91.50,30,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72070,22.00,91.50,39,1,25,25,26,0,0,0,0,0,0,0,0,0,0,0,0
74071,22.00,91.50,30,1,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0
76069,22.00,91.00,39,1,24,26,24,25,0,0,0,0,0,0,0,0,0,0,0
