Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15
2141,36.30,46.70,0,0,40,39,38,40,0,0,0,0,0,0,0,0,0,0,0
4125,36.10,48.50,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
6133,36.10,48.90,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8094,36.00,48.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10089,35.90,49.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12134,35.80,49.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2136,34.20,52.80,0,0,38,38,39,38,0,0,0,0,0,0,0,0,0,0,0
4135,34.30,54.20,0,0,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0
6138,34.30,54.20,0,0,36,36,35,36,0,0,0,0,0,0,0,0,0,0,0
8137,34.40,54.30,0,0,37,38,36,39,0,0,0,0,0,0,0,0,0,0,0
10138,34.40,54.60,0,0,38,37,35,37,0,0,0,0,0,0,0,0,0,0,0
12139,34.30,54.80,0,0,36,37,35,35,0,0,0,0,0,0,0,0,0,0,0
14137,34.10,55.10,0,0,37,35,35,36,0,0,0,0,0,0,0,0,0,0,0
16139,34.10,55.20,0,0,36,36,38,35,36,0,0,0,0,0,0,0,0,0,0
18137,34.00,55.40,0,0,36,35,39,35,37,0,0,0,0,0,0,0,0,0,0
20136,34.00,55.30,0,0,36,34,37,35,0,0,0,0,0,0,0,0,0,0,0
22137,34.00,55.20,0,0,35,36,35,37,0,0,0,0,0,0,0,0,0,0,0
24137,34.00,55.20,0,0,35,34,34,37,0,0,0,0,0,0,0,0,0,0,0
26138,34.00,55.30,0,0,37,37,36,36,0,0,0,0,0,0,0,0,0,0,0
28137,34.00,55.60,0,0,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0
30136,34.00,56.00,0,0,37,3,36,36,37,39,0,0,0,0,0,0,0,0,0
32136,34.00,56.20,0,0,37,36,37,36,37,37,0,0,0,0,0,0,0,0,0
34138,34.00,56.40,0,0,36,5,37,36,37,38,0,0,0,0,0,0,0,0,0
36139,34.00,56.50,0,0,35,36,36,36,36,0,0,0,0,0,0,0,0,0,0
38138,33.90,56.60,0,0,37,34,33,34,34,0,0,0,0,0,0,0,0,0,0
2071,34.00,56.50,0,0,37,36,37,38,36,37,36,0,0,0,0,0,0,0,0
4073,34.00,56.60,0,0,36,38,37,37,38,38,40,38,38,0,0,0,0,0,0
6072,34.00,56.40,0,0,37,37,36,38,36,34,35,36,0,0,0,0,0,0,0
8070,34.00,56.40,0,0,35,38,37,40,36,37,0,0,0,0,0,0,0,0,0
10072,34.00,56.50,0,0,39,40,38,37,38,37,36,36,0,0,0,0,0,0,0
12071,34.00,56.50,0,0,38,36,36,36,37,35,36,37,0,0,0,0,0,0,0
14070,34.00,56.60,0,0,36,37,36,35,38,35,37,38,0,0,0,0,0,0,0
16068,34.00,56.50,0,0,36,37,39,36,37,37,0,0,0,0,0,0,0,0,0
18071,34.00,56.50,0,0,36,37,36,36,36,37,37,37,0,0,0,0,0,0,0
20066,34.00,56.50,0,0,37,35,36,0,0,0,0,0,0,0,0,0,0,0,0
22064,34.00,56.60,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24069,34.00,56.80,0,0,35,38,37,37,37,39,0,0,0,0,0,0,0,0,0
26070,34.00,56.80,0,0,37,37,38,39,33,34,35,0,0,0,0,0,0,0,0
28069,34.00,56.90,0,0,36,36,37,39,38,38,37,0,0,0,0,0,0,0,0
30070,34.00,57.00,0,0,37,36,37,36,37,36,38,39,0,0,0,0,0,0,0
32069,33.90,57.10,0,0,39,37,35,37,33,34,36,0,0,0,0,0,0,0,0
34072,33.90,56.90,0,0,35,35,36,38,37,38,39,37,0,0,0,0,0,0,0
36072,33.90,56.70,0,0,37,36,35,37,39,36,36,37,0,0,0,0,0,0,0
38071,34.00,56.50,0,0,36,35,36,35,34,36,38,38,0,0,0,0,0,0,0
40071,33.90,56.60,0,0,37,36,38,37,38,36,36,38,0,0,0,0,0,0,0
42072,34.00,56.50,0,0,37,36,37,39,35,36,37,37,0,0,0,0,0,0,0
44070,33.90,56.60,0,0,36,37,37,37,36,38,36,37,0,0,0,0,0,0,0
46070,33.90,56.60,0,0,36,36,36,35,36,37,36,37,0,0,0,0,0,0,0
48070,34.00,56.50,0,0,36,38,39,37,36,37,37,37,0,0,0,0,0,0,0
50071,34.00,56.60,0,0,37,37,36,38,36,34,37,36,0,0,0,0,0,0,0
52071,33.90,56.80,0,0,37,36,37,38,37,36,37,37,0,0,0,0,0,0,0
54071,33.90,57.00,0,0,38,37,36,40,36,36,35,38,0,0,0,0,0,0,0
56072,33.90,57.30,0,0,35,38,35,39,37,36,35,38,0,0,0,0,0,0,0
58072,33.90,57.40,0,0,34,36,38,39,35,36,37,38,0,0,0,0,0,0,0
60070,33.80,57.40,0,0,34,36,37,36,33,35,36,36,0,0,0,0,0,0,0
62070,33.80,57.40,0,0,33,34,37,36,33,34,38,37,0,0,0,0,0,0,0
64071,33.90,57.40,0,0,36,36,37,38,35,34,37,36,0,0,0,0,0,0,0
66071,34.00,57.20,0,0,35,34,34,36,35,37,34,36,0,0,0,0,0,0,0
68072,33.90,57.30,0,0,35,37,33,36,34,33,35,36,0,0,0,0,0,0,0
70071,34.00,57.30,0,0,37,34,34,35,36,37,34,35,0,0,0,0,0,0,0
