Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15,Mean_SNR,SNR_Var,SNR_Diff,Sat_Count
0,27.7597284,68.83681111,541,1,39,44,41,45,45,46,41,42,,,,,,,,42.875,6.124999999999998,0.0,8
100,29.66165477,64.34339314,444,1,40,44,42,44,42,45,42,42,,,,,,,,42.625,2.5535714285714284,-0.25,8
200,26.38542282,77.84708766,545,1,39,43,43,43,43,43,42,42,,,,,,,,42.25,1.9285714285714286,-0.375,8
300,26.67061548,74.16853394,440,1,41,42,43,40,42,39,42,42,,,,,,,,41.375,1.696428571428571,-0.875,8
400,29.10797665,60.16456701,494,1,42,42,43,39,42,38,42,41,,,,,,,,41.125,2.9821428571428577,-0.25,8
500,31.85956982,62.15439403,409,1,45,43,42,39,41,38,42,41,,,,,,,,41.375,4.839285714285717,0.25,8
600,31.82278508,79.66399286,523,1,44,42,41,37,43,38,41,41,,,,,,,,40.875,5.553571428571429,-0.5,8
700,26.74286689,60.76256358,376,1,43,40,41,36,44,38,40,41,,,,,,,,40.375,6.55357142857143,-0.5,8
800,25.71645721,65.65110021,516,1,41,39,40,40,43,40,41,40,,,,,,,,40.5,1.4285714285714282,0.125,8
900,29.13240267,70.96992689,358,1,41,41,41,43,41,40,41,40,,,,,,,,41.0,0.8571428571428557,0.5,8
1000,27.93987826,63.68711232,517,1,41,43,41,43,40,40,42,40,,,,,,,,41.25,1.6428571428571441,0.25,8
1100,30.33180699,64.64108173,388,1,41,45,40,42,40,39,41,40,,,,,,,,41.0,3.4285714285714315,-0.25,8
1200,28.69588608,67.05934973,384,1,41,44,40,42,40,39,40,40,,,,,,,,40.75,2.499999999999998,-0.25,8
1300,28.57410764,65.39108537,543,1,42,42,40,41,40,43,40,40,,,,,,,,41.0,1.4285714285714302,0.25,8
1400,29.52521908,76.06712456,544,1,42,40,40,42,41,42,41,40,,,,,,,,41.0,0.8571428571428568,0.0,8
1500,25.88492911,70.00548947,507,1,43,40,39,42,44,42,41,40,,,,,,,,41.375,2.8392857142857157,0.375,8
1600,29.74013211,65.57240295,577,1,42,41,41,42,42,40,40,42,,,,,,,,41.25,0.7857142857142871,-0.125,8
1700,28.4196379,66.26192067,347,1,42,42,42,42,39,40,39,41,,,,,,,,40.875,1.8392857142857117,-0.375,8
1800,30.74102946,60.79729919,381,1,40,43,42,41,37,40,40,41,,,,,,,,40.5,3.1428571428571437,-0.375,8
1900,25.97094784,60.98784152,388,1,40,42,42,39,37,38,40,39,,,,,,,,39.625,3.1249999999999996,-0.875,8
2000,27.10522934,74.35815133,392,1,41,42,41,37,37,39,41,40,,,,,,,,39.75,3.642857142857145,0.125,8
2100,31.65172462,62.25821674,398,1,41,41,42,39,38,40,41,42,,,,,,,,40.5,1.9999999999999971,0.75,8
2200,28.87151016,69.51593549,509,1,42,39,41,40,40,42,40,43,,,,,,,,40.875,1.8392857142857153,0.375,8
2300,31.505107,76.84731286,381,1,41,38,42,42,40,42,42,43,,,,,,,,41.25,2.499999999999998,0.375,8
2400,29.82324572,67.36907011,386,1,42,38,42,42,41,41,42,42,,,,,,,,41.25,1.9285714285714288,0.0,8
2500,31.48501955,66.91504454,471,1,39,42,43,40,40,41,42,42,,,,,,,,41.125,1.8392857142857173,-0.125,8
2600,27.22478399,77.46096552,358,1,40,43,42,39,41,41,41,41,,,,,,,,41.0,1.4285714285714282,-0.125,8
2700,25.63373631,77.29700793,409,1,40,42,41,40,41,42,41,42,,,,,,,,41.125,0.696428571428572,0.125,8
2800,30.61569235,77.60273603,317,1,43,41,40,41,42,42,43,43,,,,,,,,41.875,1.2678571428571435,0.75,8
2900,30.63128127,71.4382792,586,1,43,40,38,43,42,43,45,43,,,,,,,,42.125,4.696428571428571,0.25,8
3000,29.33178756,79.04608547,395,1,43,40,39,42,41,42,43,44,,,,,,,,41.75,2.785714285714292,-0.375,8
3100,29.05699142,76.37927896,555,1,43,40,39,43,41,40,40,44,,,,,,,,41.25,3.357142857142858,-0.5,8
3200,31.40435719,68.31268854,459,1,43,40,42,40,41,40,36,44,,,,,,,,40.75,5.928571428571429,-0.5,8
3300,26.23548927,72.59110284,368,1,44,39,44,40,41,40,40,43,,,,,,,,41.375,3.9821428571428585,0.625,8
3400,29.3157658,62.43578166,358,1,41,38,44,39,39,40,39,42,,,,,,,,40.25,3.9285714285714275,-1.125,8
3500,25.34839428,71.02664372,508,1,41,39,44,39,40,41,42,41,,,,,,,,40.875,2.696428571428569,0.625,8
3600,25.98605456,65.26298167,589,1,41,42,42,40,42,41,40,40,,,,,,,,41.0,0.8571428571428547,0.125,8
3700,28.06090644,65.67094453,355,1,40,44,41,40,44,42,43,41,,,,,,,,41.875,2.696428571428572,0.875,8
