Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15,Mean_SNR,SNR_Var,Sat_Count
83400,25.46854917,83.63727843,884,1,33,30,31,30,30,28,31,38,37,,,,,,,30,43,11
190800,25.44983799,81.17101902,861,1,32,30,31,30,31,28,31,38,37,,,,,,,30,43,11
131600,23.86955889,99.51449345,807,1,32,30,31,32,31,28,31,38,37,,,,,,,30,43,11
122400,23.28794502,87.2779356,734,1,32,30,32,32,31,28,31,38,37,,,,,,,31,43,11
149400,26.38661582,96.59973903,777,1,32,31,32,32,31,28,31,38,37,,,,,,,31,43,11
123800,26.42198493,95.70005354,736,1,32,32,32,33,30,28,31,38,37,,,,,,,31,44,11
10900,25.49183863,92.79710871,1006,1,32,33,32,34,30,28,31,38,37,,,,,,,31,45,11
44900,27.63745615,95.04001148,1001,1,32,34,32,33,30,28,31,38,37,,,,,,,31,45,11
89100,23.57595777,81.4727864,845,1,32,34,32,33,30,28,31,38,37,,,,,,,31,45,11
129600,25.92619872,82.58706154,751,1,31,33,32,33,31,28,31,38,37,,,,,,,31,44,11
194500,25.86123887,89.13129561,871,1,30,34,32,33,31,28,31,38,37,,,,,,,31,44,11
70500,27.76200642,86.79216527,819,1,30,33,31,33,32,28,31,38,37,,,,,,,31,44,11
168400,22.20042405,98.88731182,750,1,30,32,31,33,32,28,31,38,37,,,,,,,31,44,11
170400,26.96719131,87.25844045,777,1,30,32,30,34,32,28,31,38,37,,,,,,,31,44,11
15400,25.32662301,88.86128811,977,1,31,33,31,33,33,28,31,38,37,,,,,,,31,44,11
25700,24.28886929,89.09771681,767,1,32,32,31,33,33,28,31,38,37,,,,,,,31,44,11
121900,24.71185993,96.7944325,790,1,33,33,31,33,33,28,31,38,37,,,,,,,31,45,11
199600,27.90256551,80.26117309,771,1,34,33,31,32,33,28,31,38,37,,,,,,,31,45,11
141500,22.4034551,81.28962112,784,1,34,33,31,32,34,28,31,38,37,,,,,,,31,46,11
51100,24.27514718,95.23357263,1016,1,34,32,31,32,34,28,31,38,37,,,,,,,31,45,11
103400,22.19411606,85.19036752,900,1,34,31,32,32,34,28,31,38,37,,,,,,,31,45,11
142300,24.7131496,94.54429517,727,1,34,30,34,32,35,28,31,38,37,,,,,,,31,46,11
122500,27.6891061,81.00276871,950,1,34,30,35,32,35,28,31,38,37,,,,,,,31,47,11
75600,24.55965277,95.83686922,828,1,33,29,36,32,35,28,31,38,37,,,,,,,31,48,11
86200,23.36009404,98.78017033,967,1,33,29,36,32,35,28,31,38,37,,,,,,,31,48,11
84200,24.62555352,89.18821055,913,1,34,30,36,32,35,28,31,38,37,,,,,,,31,48,11
117500,24.93839711,84.59922371,961,1,33,31,34,33,35,28,31,38,37,,,,,,,31,47,11
12100,22.11418581,94.63411764,862,1,33,32,34,33,34,28,31,38,37,,,,,,,31,46,11
179600,24.52692794,90.81399661,911,1,33,33,33,34,34,28,31,38,37,,,,,,,31,46,11
129700,22.95563878,90.92799902,919,1,32,34,32,35,34,28,31,38,37,,,,,,,32,46,11
67700,22.06688384,95.53605036,794,1,32,34,32,35,33,28,31,38,37,,,,,,,32,47,11
72000,25.75086835,85.35924543,705,1,32,34,33,35,33,28,31,38,37,,,,,,,31,46,11
83300,23.02562702,80.65953253,878,1,33,33,33,35,33,28,31,38,37,,,,,,,32,47,11
39200,25.04149781,83.24648124,833,1,33,33,34,35,33,28,31,38,37,,,,,,,32,47,11
69000,22.64417732,80.0479124,935,1,34,32,35,35,32,28,31,38,37,,,,,,,32,47,11
90700,23.40483875,98.74078746,703,1,34,32,35,35,32,28,31,38,37,,,,,,,32,47,11
82200,24.36495598,88.54738826,704,1,34,32,34,34,32,28,31,38,37,,,,,,,32,46,11
8200,26.31570141,98.78438946,917,1,34,33,33,34,32,28,31,38,37,,,,,,,31,45,11
72100,25.00085609,89.19860936,957,1,33,33,32,33,32,28,31,38,37,,,,,,,31,45,11
177200,24.81134619,84.93119754,799,1,33,34,31,32,33,28,31,38,37,,,,,,,31,45,11
91500,22.88241344,97.85004257,728,1,33,34,32,31,34,28,31,38,37,,,,,,,31,46,11
160600,26.29448884,85.69366036,895,1,33,34,32,32,34,28,31,38,37,,,,,,,31,46,11
11700,25.91729449,92.0762168,767,1,33,34,33,32,34,28,31,38,37,,,,,,,32,47,11
7500,24.7040444,92.99548055,877,1,33,35,33,33,34,28,31,38,37,,,,,,,32,47,11
148500,27.22630655,91.80894843,724,1,33,34,33,33,34,28,31,38,37,,,,,,,32,46,11
37700,24.82266632,85.52571931,719,1,33,33,34,34,33,28,31,38,37,,,,,,,32,46,11
185800,22.15768425,82.0559532,706,1,33,33,34,34,33,28,31,38,37,,,,,,,31,46,11
38500,23.11695757,80.76384854,949,1,33,32,33,34,32,28,31,38,37,,,,,,,31,45,11
23300,24.15784357,87.10186075,939,1,33,32,33,34,32,28,31,38,37,,,,,,,31,45,11
164100,22.87487243,83.99176887,732,1,32,32,33,33,32,28,31,38,37,,,,,,,31,45,11
185900,24.46773352,85.08782838,725,1,33,32,33,33,32,28,31,38,37,,,,,,,31,45,11
195200,23.27905134,86.35689581,879,1,32,32,33,33,33,28,31,38,37,,,,,,,31,45,11
144500,27.60843514,80.6152306,1021,1,33,33,33,33,33,28,31,38,37,,,,,,,31,45,11
163800,23.46472638,84.24778674,839,1,33,34,33,33,33,28,32,38,37,,,,,,,32,46,11
121400,22.83062027,85.44359575,1008,1,33,35,33,33,33,28,33,37,37,,,,,,,32,46,11
158000,27.65580455,88.32268097,971,1,33,35,33,32,33,28,34,37,37,,,,,,,31,49,11
91100,24.99666875,89.55919287,725,1,32,35,34,32,32,29,35,37,37,,,,,,,31,58,11
81200,27.92534789,89.25339341,979,1,32,34,34,32,32,30,35,36,37,,,,,,,31,67,11
48700,27.83617319,99.48859055,970,1,32,34,34,32,32,31,36,36,37,,,,,,,31,74,11
78300,23.59120233,97.8156133,859,1,32,34,34,32,31,33,35,36,37,,,,,,,31,77,11
139700,27.71562245,99.8245711,752,1,32,34,34,33,31,34,35,36,37,,,,,,,31,83,11
90900,25.55444079,94.06465445,772,1,32,34,34,33,32,34,35,36,37,,,,,,,31,85,11
108700,27.15738608,91.6437052,786,1,33,34,34,33,31,33,34,36,37,,,,,,,31,85,11
191400,24.66885013,99.10373965,817,1,33,33,34,34,32,32,34,35,37,,,,,,,31,82,11
195500,24.71856999,97.79939166,1018,1,34,33,35,34,32,31,34,35,37,,,,,,,31,80,11
28500,27.83321201,99.61050939,755,1,34,32,35,34,32,30,34,34,37,,,,,,,31,75,11
173700,23.38307177,95.08776234,727,1,34,32,35,34,32,29,34,33,37,,,,,,,31,72,11
121500,26.77168203,82.58661342,860,1,34,32,35,33,32,29,34,33,37,,,,,,,31,72,11
31700,27.67991628,83.80243012,906,1,33,32,35,32,32,30,34,32,37,,,,,,,31,74,11
197800,23.51506904,82.9038262,851,1,33,32,34,32,32,31,34,32,37,,,,,,,30,75,11
165300,26.24852905,88.68137379,810,1,32,32,33,32,32,32,33,32,37,,,,,,,30,77,11
98200,25.3513342,82.17739093,831,1,33,32,32,32,31,33,33,33,37,,,,,,,30,76,11
106100,26.99795059,84.53969632,938,1,33,31,31,33,31,33,33,34,37,,,,,,,30,76,11
4400,22.82273618,86.95050059,890,1,33,31,31,33,30,33,32,34,37,,,,,,,30,73,11
157200,23.92161104,86.98837127,854,1,34,31,31,34,31,34,32,35,37,,,,,,,31,74,11
70200,25.60421994,96.92168882,987,1,34,32,31,33,32,35,32,36,37,,,,,,,31,74,11
133100,26.07410674,94.00149561,915,1,34,32,32,33,32,36,32,36,37,,,,,,,31,75,11
29000,27.85788294,89.52840611,942,1,34,32,32,32,33,36,31,36,37,,,,,,,31,75,11
104100,22.84204638,98.9827166,846,1,33,32,33,32,33,36,31,36,37,,,,,,,31,78,11
36500,24.15147147,92.25760535,849,1,33,31,33,31,33,36,31,36,37,,,,,,,31,77,11
114000,23.70329098,99.36812471,871,1,33,31,33,32,34,35,30,35,37,,,,,,,31,76,11
156800,22.48354242,97.7685989,928,1,33,31,33,32,34,34,31,35,37,,,,,,,31,76,11
109700,23.77856206,99.40766078,813,1,34,30,33,33,34,33,31,35,37,,,,,,,31,78,11
161900,22.20612053,97.90772329,723,1,34,31,33,33,34,33,31,35,37,,,,,,,31,79,11
161800,22.16711782,93.05487135,952,1,34,31,32,34,34,33,32,34,37,,,,,,,31,81,11
168100,26.33208539,99.17937411,862,1,35,31,32,35,33,32,33,34,36,,,,,,,31,83,11
61400,22.41050732,94.0067168,742,1,35,31,32,35,32,32,33,33,35,,,,,,,30,83,11
194400,26.99654266,95.71991335,985,1,35,32,32,35,31,32,33,33,34,,,,,,,30,84,11
30900,26.85214849,99.78279546,1016,1,35,32,32,34,31,31,33,33,33,,,,,,,30,84,11
174500,27.44303464,86.42075549,881,1,34,32,32,34,31,31,33,33,32,,,,,,,30,84,11
96600,23.38828802,88.69476658,908,1,33,32,32,34,31,32,33,32,31,,,,,,,29,83,11
66300,25.57625152,85.09308627,750,1,32,32,32,33,32,32,34,31,30,,,,,,,29,82,11
184300,26.26709437,94.34958635,785,1,32,33,31,33,32,33,34,30,30,,,,,,,29,80,11
103600,24.5265509,84.13775114,839,1,32,33,31,33,32,33,34,30,30,,,,,,,29,77,11
153300,23.86069215,98.82404457,739,1,32,34,30,34,32,33,34,30,30,,,,,,,30,73,11
181300,24.6923427,87.1063433,818,1,33,33,29,34,32,33,35,31,30,,,,,,,30,70,11
53500,24.45248378,97.58304615,771,1,34,34,29,35,32,32,35,32,30,,,,,,,30,71,11
175000,23.38733514,81.61645521,873,1,33,34,29,35,33,32,35,33,30,,,,,,,30,71,11
43900,23.26655372,94.2318435,721,1,33,34,30,36,32,33,35,34,30,,,,,,,30,71,11
13000,27.96879265,92.47846368,784,1,32,35,32,35,32,33,34,35,30,,,,,,,31,69,11
106900,26.2429649,80.57224668,790,1,31,35,33,33,32,34,33,36,30,,,,,,,31,63,11
144800,22.10390794,94.40607463,787,1,30,35,34,32,33,35,32,36,30,,,,,,,31,61,11
194100,27.35655454,97.0699751,1020,1,29,34,34,32,33,34,31,37,30,,,,,,,30,60,11
129800,22.52525631,92.63817728,784,1,29,34,34,31,33,34,30,36,30,,,,,,,30,59,11
63400,23.38487256,81.63980064,765,1,29,33,33,31,33,34,30,36,29,,,,,,,30,62,11
191800,24.74775533,91.08099734,954,1,30,32,32,32,33,33,30,35,29,,,,,,,29,69,11
93900,27.39094018,85.03836155,836,1,30,32,32,33,32,33,30,35,29,,,,,,,29,71,11
35900,24.77576016,89.68132022,843,1,32,33,31,34,31,34,31,34,29,,,,,,,29,73,11
140900,24.86072799,94.3674408,834,1,33,33,31,34,31,34,31,33,29,,,,,,,30,74,11
42500,23.53279563,99.77511523,826,1,34,33,31,35,31,33,32,33,29,,,,,,,30,73,11
141800,26.47638447,98.20356422,743,1,34,34,31,35,31,33,32,32,29,,,,,,,30,71,11
65200,26.71617974,84.12626407,954,1,34,35,31,36,32,32,33,32,29,,,,,,,30,70,11
