Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15,Mean_SNR,SNR_Var,Sat_Count,SNR_Diff
0,32.99632095,45.23411367,57,0,48,50,51,49,54,53,51,,,,,,,,,50.857142857142854,4.476190476190481,7,0.0
100,37.60571445,44.93957598,81,0,50,50,48,49,54,53,51,,,,,,,,,50.714285714285715,4.571428571428567,7,-0.1428571428571388
200,35.85595153,58.12509161,76,0,50,50,48,49,52,52,51,,,,,,,,,50.285714285714285,2.2380952380952426,7,-0.4285714285714306
300,34.78926787,44.990924,15,0,51,50,47,47,51,50,51,,,,,,,,,49.57142857142857,3.2857142857142834,7,-0.7142857142857153
400,31.24814912,45.43899452,15,0,50,51,49,48,49,49,51,,,,,,,,,49.57142857142857,1.285714285714287,7,0.0
500,31.24795616,55.18796525,27,0,50,51,50,48,49,49,51,,,,,,,,,49.714285714285715,1.238095238095239,7,0.1428571428571459
600,30.4646689,48.99479685,36,0,48,53,51,50,51,49,51,,,,,,,,,50.42857142857143,2.6190476190476195,7,0.7142857142857153
700,36.92940917,55.53421114,41,0,49,52,50,48,52,49,51,,,,,,,,,50.142857142857146,2.476190476190476,7,-0.2857142857142847
800,34.80892009,41.30732315,68,0,50,50,49,49,51,50,51,,,,,,,,,50.0,0.6666666666666692,7,-0.1428571428571459
900,35.66458062,49.75142387,6,0,51,48,49,50,51,51,51,,,,,,,,,50.142857142857146,1.476190476190477,7,0.1428571428571459
1000,30.16467595,40.672272,3,0,51,48,50,50,51,52,51,,,,,,,,,50.42857142857143,1.619047619047618,7,0.2857142857142847
1100,37.75927882,41.25306407,39,0,51,48,52,49,51,52,51,,,,,,,,,50.57142857142857,2.2857142857142843,7,0.1428571428571388
1200,36.65954113,58.12874907,70,0,51,47,52,50,51,52,52,,,,,,,,,50.714285714285715,3.238095238095237,7,0.1428571428571459
1300,31.69871289,42.78490742,19,0,51,48,52,51,50,51,52,,,,,,,,,50.714285714285715,1.9047619047619033,7,0.0
1400,31.45459974,50.64841365,64,0,51,48,51,51,52,51,52,,,,,,,,,50.857142857142854,1.8095238095238069,7,0.1428571428571388
1500,31.46723608,48.22191205,26,0,49,49,49,49,51,49,52,,,,,,,,,49.714285714285715,1.5714285714285758,7,-1.1428571428571388
1600,32.43393794,46.94686653,89,0,49,49,48,48,51,49,52,,,,,,,,,49.42857142857143,2.2857142857142843,7,-0.2857142857142847
1700,34.19805145,57.99666691,90,0,49,50,48,48,49,48,52,,,,,,,,,49.142857142857146,2.1428571428571455,7,-0.2857142857142847
1800,33.45556015,40.43646794,30,0,50,50,49,49,49,50,52,,,,,,,,,49.857142857142854,1.1428571428571435,7,0.7142857142857082
1900,32.32983312,53.27579372,23,0,50,50,51,51,50,50,52,,,,,,,,,50.57142857142857,0.6190476190476196,7,0.7142857142857153
2000,34.89482316,59.26788868,41,0,50,50,51,50,50,50,52,,,,,,,,,50.42857142857143,0.6190476190476173,7,-0.1428571428571388
2100,31.11595089,51.20336367,24,0,49,49,50,49,51,48,52,,,,,,,,,49.714285714285715,1.9047619047619035,7,-0.7142857142857153
2200,32.33715719,58.73644924,67,0,49,49,50,48,48,48,52,,,,,,,,,49.142857142857146,2.142857142857145,7,-0.5714285714285694
2300,32.93089475,41.04515759,83,0,50,47,50,49,49,48,52,,,,,,,,,49.285714285714285,2.571428571428571,7,0.1428571428571388
2400,33.64855987,48.37586638,67,0,49,47,50,50,49,50,52,,,,,,,,,49.57142857142857,2.285714285714289,7,0.2857142857142847
2500,36.28140769,45.20315582,82,0,50,49,51,50,49,50,52,,,,,,,,,50.142857142857146,1.1428571428571457,7,0.5714285714285765
2600,31.59739026,54.6164193,40,0,50,52,50,50,50,49,52,,,,,,,,,50.42857142857143,1.2857142857142863,7,0.2857142857142847
2700,34.11387551,59.62594181,16,0,51,52,51,50,49,49,51,,,,,,,,,50.42857142857143,1.2857142857142874,7,0.0
2800,34.73931655,45.13060125,74,0,49,52,52,50,51,49,51,,,,,,,,,50.57142857142857,1.6190476190476186,7,0.1428571428571388
2900,30.3716033,53.08349203,36,0,50,51,51,50,51,50,51,,,,,,,,,50.57142857142857,0.28571428571428586,7,0.0
3000,34.86035882,43.96195266,67,0,50,51,49,51,51,49,50,,,,,,,,,50.142857142857146,0.8095238095238088,7,-0.4285714285714235
