Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15,Mean_SNR,SNR_Var,Sat_Count
2088,21.8,92.0,46,1,31,27,28,27,32,27,28,26,40,22,29,64,24,30,25,31,95,17
4080,21.9,92.9,45,1,30,27,28,27,32,27,28,26,40,22,29,64,24,30,25,31,96,17
6074,22.0,92.0,40,1,29,27,28,27,32,27,28,26,40,22,29,64,24,30,25,31,96,17
8074,22.1,91.6,30,1,29,27,28,27,32,27,27,26,40,22,29,64,24,30,25,30,96,17
10077,21.9,92.0,31,1,28,27,28,27,32,27,27,26,40,22,29,64,24,30,25,30,96,17
12076,22.0,92.0,28,1,26,27,27,27,32,27,27,26,40,22,29,64,24,30,25,30,97,17
14071,21.8,92.0,32,1,25,27,27,27,32,26,27,26,40,22,29,64,24,30,25,30,98,17
16074,21.9,92.0,25,1,25,27,27,27,32,27,27,27,40,22,29,64,24,30,25,34,376,17
18075,22.0,92.2,31,1,25,28,28,28,32,27,28,28,40,22,29,64,24,30,25,34,354,17
20076,22.0,92.0,31,1,28,29,29,29,32,28,30,29,40,22,29,64,24,30,25,35,334,17
22072,22.0,92.0,32,1,30,31,31,31,33,30,32,31,40,22,29,64,24,30,25,36,321,17
24076,22.0,92.2,40,1,33,33,33,33,34,32,34,34,40,22,29,64,24,30,25,37,314,17
26075,22.0,92.6,33,1,36,35,35,35,35,35,36,36,40,22,29,64,24,30,25,38,307,17
28075,22.0,92.6,36,1,37,36,37,36,36,37,38,38,40,22,29,64,24,30,25,39,305,17
2072,21.9,82.9,45,1,38,37,39,38,37,38,38,39,40,22,29,64,24,30,25,40,310,17
4072,22.0,91.7,35,1,39,38,40,39,38,40,39,40,40,22,29,64,24,30,25,40,319,17
6072,22.0,91.7,41,1,39,39,40,39,39,40,39,41,40,22,29,64,24,30,25,40,322,17
8072,21.9,91.2,34,1,40,40,41,40,40,41,40,41,40,22,29,64,24,30,25,37,98,17
10072,22.0,92.0,41,1,41,41,41,40,41,41,41,42,40,22,29,64,24,30,25,37,101,17
12072,22.0,91.5,32,1,42,41,42,40,42,42,42,42,40,22,29,64,24,30,25,38,103,17
14072,21.8,91.5,41,1,42,42,42,41,42,42,42,42,40,22,29,64,24,30,25,38,105,17
2142,21.8,91.2,37,1,43,43,42,41,43,42,42,43,40,22,29,64,24,30,25,38,106,17
4139,22.0,91.7,34,1,42,43,42,42,43,42,42,43,40,22,29,64,24,30,25,38,107,17
6136,22.0,91.7,34,1,42,44,43,42,43,43,43,43,40,22,29,64,24,30,25,38,108,17
8137,21.9,92.0,32,1,42,44,43,43,43,43,43,43,40,22,29,64,24,30,25,38,109,17
10139,22.1,91.9,32,1,42,43,43,44,43,42,43,43,40,22,29,64,24,30,25,38,109,17
12140,22.1,91.4,39,1,41,43,43,44,44,42,43,42,40,22,29,64,24,30,25,38,109,17
14137,22.1,91.4,32,1,41,42,43,44,44,42,43,42,40,22,29,64,24,30,25,38,109,17
16137,22.0,91.5,32,1,41,42,43,44,44,42,43,41,40,22,29,64,24,30,25,38,108,17
18142,21.9,91.5,33,1,41,42,43,44,44,42,43,41,40,22,29,64,24,30,25,38,108,17
20139,22.0,91.2,35,1,41,41,43,44,44,42,43,41,40,22,29,64,24,30,25,38,108,17
22138,22.0,91.5,37,1,40,41,43,44,44,42,43,40,40,22,29,64,24,30,25,38,107,17
24137,21.9,91.7,40,1,39,41,44,44,44,42,43,40,40,22,29,64,24,30,25,38,106,17
26139,21.9,91.2,30,1,37,41,44,44,44,42,43,39,40,22,29,64,24,30,25,38,106,17
28139,21.9,91.2,32,1,36,41,44,43,44,42,43,39,40,22,29,64,24,30,25,38,106,17
30138,21.9,91.0,32,1,33,41,43,43,43,41,43,39,40,22,29,64,24,30,25,37,106,17
32138,22.1,91.4,39,1,31,42,43,43,43,41,42,38,40,22,29,64,24,30,25,37,106,17
34114,22.1,91.1,38,1,29,42,42,43,42,41,42,38,39,22,29,64,24,30,25,37,108,17
36130,22.1,91.1,32,1,26,42,42,43,41,41,42,37,39,22,29,64,24,30,25,37,111,17
38139,22.0,91.5,33,1,23,43,41,42,41,41,42,37,39,22,29,64,24,30,25,36,114,17
40140,22.0,91.5,38,1,23,42,40,42,41,41,42,37,39,22,29,64,24,30,25,36,112,17
42078,22.0,91.5,41,1,24,40,39,41,41,41,42,36,39,22,29,64,24,30,25,36,108,17
44138,22.0,91.5,40,1,29,39,38,41,42,42,41,36,39,22,29,64,24,30,25,36,102,17
46125,22.0,91.5,31,1,33,37,37,41,42,42,41,35,39,22,29,64,24,30,25,36,98,17
