Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15,Mean_SNR,SNR_Var,SNR_Diff,Sat_Count
2069,24.1,83.0,23,1,34,34,34,32,36,41,40,45,40,22,29,64,24,30,25,35.333333333333336,106.38095238095238,0.0,15
2072,21.9,82.9,45,1,38,39,38,38,36,41,40,45,40,22,29,64,24,30,25,36.6,105.97142857142858,1.2666666666666657,15
2074,24.2,92.3,18,0,33,34,35,33,36,39,38,45,40,22,29,64,24,30,25,35.13333333333333,103.69523809523808,-1.4666666666666686,15
2088,21.8,92.0,46,1,32,31,33,31,33,34,34,44,40,22,29,64,24,30,25,33.733333333333334,101.78095238095236,-1.3999999999999986,15
2142,21.8,91.2,37,1,32,32,33,30,33,34,35,44,40,22,29,64,24,30,25,33.8,102.02857142857144,0.06666666666666288,15
2154,24.5,83.6,17,0,37,39,38,37,36,37,38,43,40,22,29,64,24,30,25,35.93333333333333,101.06666666666665,2.133333333333333,15
2162,24.0,83.8,18,0,36,44,43,40,36,42,42,42,40,22,29,64,24,30,25,37.266666666666666,111.3523809523809,1.3333333333333357,15
4072,22.0,91.7,35,1,34,43,43,40,36,42,42,42,40,22,29,64,24,30,25,37.06666666666667,111.0666666666667,-0.19999999999999574,15
4074,24.2,92.3,16,0,32,35,36,35,36,36,40,39,40,22,29,64,24,30,25,34.86666666666667,97.83809523809522,-2.200000000000003,15
4074,24.2,91.7,17,0,33,31,31,31,30,30,34,33,40,22,29,64,24,30,25,32.46666666666667,94.83809523809524,-2.3999999999999986,15
4080,21.9,92.9,45,1,28,26,26,27,27,25,29,29,40,22,29,64,24,30,25,30.066666666666666,104.4952380952381,-2.400000000000002,15
4115,24.5,91.6,14,0,30,30,30,30,31,28,28,28,40,22,29,64,24,30,25,31.266666666666666,97.92380952380951,1.1999999999999993,15
4139,22.0,91.7,34,1,34,34,34,36,35,31,31,31,40,22,29,64,24,30,25,33.333333333333336,94.80952380952382,2.06666666666667,15
4164,24.1,92.3,16,0,34,39,39,40,36,34,36,35,40,22,29,64,24,30,25,35.13333333333333,98.4095238095238,1.7999999999999972,15
6072,22.0,91.7,41,1,37,41,42,40,36,38,40,38,40,22,29,64,24,30,25,36.4,103.25714285714288,1.2666666666666657,15
6073,24.2,92.3,13,0,33,35,36,36,35,34,37,38,40,22,29,64,24,30,25,34.53333333333333,95.26666666666668,-1.8666666666666671,15
6074,22.0,92.0,40,1,33,30,31,31,32,30,33,37,40,22,29,64,24,30,25,32.733333333333334,95.92380952380951,-1.7999999999999972,15
6074,24.1,91.7,19,0,27,25,25,28,26,24,26,32,40,22,29,64,24,30,25,29.8,108.31428571428569,-2.9333333333333336,15
6110,24.5,91.2,16,0,28,28,29,29,28,27,27,31,40,22,29,64,24,30,25,30.733333333333334,100.49523809523812,0.9333333333333336,15
6136,22.0,91.7,34,1,32,33,35,31,28,29,29,32,40,22,29,64,24,30,25,32.2,97.02857142857144,1.4666666666666686,15
6166,24.1,92.7,19,0,32,33,42,34,33,34,34,36,40,22,29,64,24,30,25,34.13333333333333,98.26666666666667,1.93333333333333,15
8072,21.9,91.2,34,1,36,37,44,36,36,39,38,40,40,22,29,64,24,30,25,36.0,102.85714285714286,1.8666666666666671,15
8074,24.2,92.0,17,0,31,31,37,34,34,35,35,37,40,22,29,64,24,30,25,33.86666666666667,95.6952380952381,-2.133333333333333,15
8074,22.1,91.6,30,1,32,32,31,31,32,31,31,33,40,22,29,64,24,30,25,32.46666666666667,93.98095238095239,-1.3999999999999986,15
8101,24.5,91.6,14,0,28,28,29,31,29,26,26,28,40,22,29,64,24,30,25,30.6,101.68571428571428,-1.8666666666666671,15
8137,21.9,92.0,32,1,34,34,36,37,34,30,30,30,40,22,29,64,24,30,25,33.266666666666666,96.78095238095237,2.6666666666666643,15
8164,24.1,92.3,19,0,36,38,39,40,36,33,34,34,40,22,29,64,24,30,25,34.93333333333333,98.2095238095238,1.6666666666666643,15
10072,22.0,92.0,41,1,38,41,40,40,36,36,38,37,40,22,29,64,24,30,25,36.0,100.85714285714286,1.06666666666667,15
10073,24.2,92.0,19,0,32,34,32,37,36,33,38,37,40,22,29,64,24,30,25,34.2,96.3142857142857,-1.7999999999999972,15
10077,21.9,92.0,31,1,31,31,29,31,33,29,34,34,40,22,29,64,24,30,25,32.4,95.82857142857142,-1.8000000000000043,15
10104,24.5,91.6,13,0,30,28,27,28,29,26,30,30,40,22,29,64,24,30,25,30.8,100.45714285714287,-1.5999999999999979,15
