Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,Mean_SNR,SNR_Var,Sat_Count,WeatherLabel
178200,33.69181972,40.21622167,60,0,49,50,49,50,49,50,49,49.42857143,0.285714286,7,0
191700,25.06228885,65.93486926,317,1,42,41,43,39,42,41,43,42.125,4.125,8,1
22100,34.54646883,50.81396953,61,0,52,49,48,52,50,51,51,50.42857143,2.285714286,7,0
13500,30.95095822,63.46763892,440,1,41,39,39,43,39,43,39,41.125,6.982142857,8,1
195000,22.26420034,96.61469738,854,1,35,34,33,32,33,32,36,31,87,11,2
116800,30.05108697,55.28881456,20,0,51,48,52,50,49,49,49,49.71428571,1.904761905,7,0
87900,31.7757773,43.72271796,82,0,52,48,51,52,48,49,50,50,3,7,0
15600,35.37708438,42.8394398,54,0,50,50,50,50,50,50,51,50.14285714,0.142857143,7,0
165700,32.44419449,50.21161515,86,0,50,49,51,49,49,50,49,49.57142857,0.619047619,7,0
32300,32.23947118,46.18745436,48,0,48,49,48,50,49,49,49,48.85714286,0.476190476,7,0
173100,26.94385105,86.85836389,762,1,35,30,33,33,32,32,31,30,77,11,2
61100,29.68147907,65.49778963,556,1,43,39,43,43,39,40,41,41.625,4.839285714,8,1
81100,36.71118469,52.81230367,85,0,52,52,50,52,51,49,50,50.85714286,1.476190476,7,0
39300,36.21130369,42.85188288,5,0,50,50,50,52,49,50,51,50.28571429,0.904761905,7,0
159300,30.75838024,77.21406346,522,1,40,44,43,40,41,41,44,41.375,4.553571429,8,1
63800,25.32048286,70.81575748,364,1,41,40,40,43,43,40,43,41.5,2,8,1
18700,26.25495657,75.70885869,435,1,42,42,38,41,44,39,41,41,3.428571429,8,1
75200,27.45842026,88.7086293,890,1,36,30,33,33,33,34,32,31,71,11,2
31900,32.00194319,48.22042151,52,0,51,50,50,51,51,52,49,50.57142857,0.952380952,7,0
16700,31.49214808,42.52529483,9,0,50,48,50,49,50,49,52,49.71428571,1.571428571,7,0
74600,33.07112977,51.56596799,19,0,50,50,51,50,49,52,51,50.42857143,0.952380952,7,0
62400,23.72069237,80.15197607,944,1,31,32,35,33,34,32,34,30,66,11,2
170700,25.0315055,74.34949535,400,1,41,42,40,41,44,40,41,41.25,1.642857143,8,1
76400,28.91875226,66.20725743,353,1,39,43,41,44,39,39,42,41,3.714285714,8,1
54000,24.19297906,92.82722986,828,1,31,33,33,32,35,34,35,31,84,11,2
10900,25.49183863,92.79710871,1006,1,32,33,32,34,30,28,31,31,45,11,2
187100,31.70809093,43.63557734,24,0,51,51,48,49,52,50,48,49.85714286,2.476190476,7,0
113700,24.85219171,99.11356121,820,1,33,33,32,34,31,35,31,30,82,11,2
119300,27.83741493,71.18941681,508,1,41,41,44,41,41,41,44,41.75,1.928571429,8,1
175400,26.16174724,73.95658457,504,1,40,44,40,40,40,39,46,41.375,5.982142857,8,1
84700,24.92470334,92.83288363,783,1,31,33,32,33,32,33,35,29,58,11,2
198300,24.72888733,80.97347178,723,1,35,33,33,33,31,32,33,30,84,11,2
194100,27.35655454,97.0699751,1020,1,29,34,34,32,33,34,31,30,60,11,2
126100,36.38047281,50.15610128,83,0,50,52,49,48,49,50,49,49.57142857,1.619047619,7,0
33800,29.77965654,69.04266317,573,1,44,41,41,41,38,39,42,41,3.428571429,8,1
8400,32.48785857,50.77403596,22,0,51,48,50,49,50,47,51,49.42857143,2.285714286,7,0
182100,25.55515693,70.76408669,536,1,37,41,38,40,41,42,44,39.625,9.982142857,8,1
65300,31.17734759,65.59963428,460,1,41,40,45,40,43,40,39,41.25,3.928571429,8,1
182300,27.25264609,81.61559153,965,1,32,31,30,34,32,32,35,29,65,11,2
74600,31.68093665,62.71397916,404,1,41,45,41,41,38,39,43,41.125,4.696428571,8,1
85800,25.11239997,64.99966463,561,1,39,42,42,41,40,42,39,40.375,2.553571429,8,1
99600,37.3385086,43.14546416,12,0,49,48,49,51,51,48,48,49.14285714,1.80952381,7,0
22800,37.13637244,45.94475615,47,0,50,52,51,48,50,51,52,50.57142857,1.952380952,7,0
126400,31.33619993,65.58536664,591,1,41,42,38,41,41,38,44,40.875,4.125,8,1
171700,27.69404613,91.52487214,713,1,31,35,32,33,32,32,34,30,71,11,2
194200,29.33591924,62.36703152,368,1,43,43,42,42,42,39,41,41.375,2.553571429,8,1
180900,26.1228745,86.46262081,841,1,33,34,32,33,36,32,34,31,65,11,2
183200,28.41537477,64.45053868,310,1,41,40,39,39,44,42,41,40.5,3.714285714,8,1
165200,32.10490056,56.55106105,21,0,50,51,49,49,52,49,48,49.71428571,1.904761905,7,0
7900,30.92695248,55.44024953,23,0,49,48,51,50,51,50,50,49.85714286,1.142857143,7,0
96400,32.30954989,57.13074447,48,0,51,52,49,49,50,50,50,50.14285714,1.142857143,7,0
92600,32.14941888,56.13387039,47,0,52,50,50,52,52,50,51,51,1,7,0
79400,30.14488147,48.73991771,30,0,50,50,48,50,49,50,50,49.57142857,0.619047619,7,0
137900,25.65283431,76.26110852,529,1,40,41,40,41,42,42,38,40.625,1.696428571,8,1
116400,29.54660522,66.70284531,362,1,41,44,42,42,38,42,45,42.25,4.785714286,8,1
45100,27.45595926,83.75934812,791,1,32,33,32,32,29,34,33,30,73,11,2
131100,29.45868853,77.73831012,390,1,40,44,43,40,40,39,43,41.5,3.714285714,8,1
193400,27.3129013,67.18764178,498,1,42,41,41,39,41,41,44,41.25,1.928571429,8,1
107400,37.90177912,51.95336565,97,0,49,50,50,49,50,48,49,49.28571429,0.571428571,7,0
42700,22.38222784,86.06734949,963,1,30,33,34,33,34,31,34,30,75,11,2
15300,25.63458114,93.07358818,981,1,35,33,31,35,34,33,33,30,84,11,2
2400,29.82324572,67.36907011,386,1,42,38,42,42,41,41,42,41.25,1.928571429,8,1
1700,23.35883622,88.51409464,943,1,31,30,31,35,34,35,35,30,74,11,2
199100,23.06739619,86.16000206,976,1,31,33,30,31,34,33,36,30,74,11,2
174500,33.85075321,44.24894554,69,0,50,49,49,51,50,52,52,50.42857143,1.619047619,7,0
114300,29.14578713,62.55381035,573,1,44,44,42,40,40,43,37,41.5,5.714285714,8,1
126300,27.09459215,70.66271624,537,1,40,41,39,37,41,39,46,40.5,6.857142857,8,1
112100,29.08170186,73.25771889,469,1,42,42,40,42,41,40,43,41.375,1.125,8,1
145100,34.94277792,53.49572604,24,0,50,50,51,49,51,51,52,50.57142857,0.952380952,7,0
43900,30.65079025,43.08290086,24,0,49,50,50,51,52,50,49,50.14285714,1.142857143,7,0
131600,30.69507703,79.09168668,428,1,42,43,41,41,39,41,43,41.375,1.696428571,8,1
139500,25.49173034,92.69187176,936,1,33,33,33,32,34,30,35,31,69,11,2
98100,26.99389701,75.23504532,422,1,42,39,41,40,44,43,40,41.5,3.142857143,8,1
8000,30.38066239,69.46057121,399,1,39,38,43,42,40,40,42,40.25,3.642857143,8,1
103400,22.19411606,85.19036752,900,1,34,31,32,32,34,28,31,31,45,11,2
145400,30.24309648,58.83383973,70,0,50,49,51,52,51,50,52,50.71428571,1.238095238,7,0
25400,31.35594197,57.57957801,16,0,51,48,51,52,49,51,50,50.28571429,1.904761905,7,0
46500,32.99896464,44.02624216,40,0,50,51,51,51,50,50,51,50.57142857,0.285714286,7,0
11700,29.79178468,73.96477451,337,1,43,42,44,38,40,44,38,41.625,6.839285714,8,1
50600,37.28741748,57.07923934,73,0,50,49,49,49,50,50,49,49.42857143,0.285714286,7,0
121700,22.70209164,96.70520753,780,1,32,34,34,34,29,30,33,29,71,11,2
42800,24.11609376,91.6989104,955,1,33,31,33,32,36,35,34,30,63,11,2
24300,25.00538282,98.81369561,788,1,35,35,34,31,34,32,33,30,78,11,2
23300,33.94014155,57.04527749,91,0,50,50,49,51,50,50,50,50,0.333333333,7,0
55300,34.48750377,58.95376052,89,0,52,50,49,49,49,48,49,49.42857143,1.619047619,7,0
103700,26.72883357,93.20150018,948,1,32,33,33,31,31,35,32,30,77,11,2
54400,34.94502592,41.77209428,40,0,49,50,48,52,49,49,52,49.85714286,2.476190476,7,0
170000,29.68665927,74.42978544,305,1,42,41,40,39,43,40,42,40.75,2.214285714,8,1
154000,26.32579758,71.06334109,396,1,42,40,40,40,40,41,38,40.375,1.696428571,8,1
78800,31.75080491,76.69662862,355,1,40,41,40,42,46,44,40,41.375,6.553571429,8,1
86400,25.99071559,61.17992877,516,1,40,43,39,42,40,40,43,40.75,2.785714286,8,1
8300,29.89272275,65.8025175,595,1,42,39,43,39,43,40,39,41,3.714285714,8,1
112400,25.3900645,93.71170809,881,1,31,30,30,33,31,33,35,29,64,11,2
30800,36.36148956,42.27676787,83,0,52,48,51,49,51,49,51,50.14285714,2.142857143,7,0
71000,36.08182288,55.46283748,42,0,49,53,48,49,51,52,50,50.28571429,3.238095238,7,0
129800,22.52525631,92.63817728,784,1,29,34,34,31,33,34,30,30,59,11,2
158000,31.85557677,49.66361727,4,0,50,51,49,51,49,48,51,49.85714286,1.476190476,7,0
