created_at,field1,field2,field3,field4,field5
2026-01-20 00:01:00,34.99,58.64,51,0,0
2026-01-20 00:02:00,33.96,55.17,47,0,0
2026-01-20 00:02:30,32.92,50.66,42,0,0
2026-01-20 00:07:00,31.32,40.02,44,0,0
2026-01-20 00:10:00,28.65,89.37,39,49.88,1
2026-01-20 00:11:00,31.59,74.04,41,48.58,1
2026-01-20 00:12:00,32.87,44.92,49,0,0
2026-01-20 00:12:20,23.39,87.45,22,375.51,2
2026-01-20 00:12:40,24.03,87.64,25,612.49,2
2026-01-20 00:16:00,25.22,91.48,14,670.03,2
2026-01-20 00:17:00,31.82,57.05,45,5.01,0
2026-01-20 00:17:20,25.34,93.02,27,450.85,2
2026-01-20 00:17:40,32.35,89.72,37,22.95,1
2026-01-20 00:22:00,28.27,84.79,38,42,1
2026-01-20 00:23:00,30.87,43.06,43,0,0
2026-01-20 00:31:00,31.04,55.48,47,0,0
2026-01-20 00:31:30,30.11,0,38,96.31,1
2026-01-20 00:32:00,34.15,42.72,51,9.7,0
2026-01-20 00:38:00,29.92,72.93,34,100.41,1
2026-01-20 00:40:00,25.92,99.52,28,140.9,2
2026-01-20 00:42:00,31.84,60.9,53,0,0
2026-01-20 00:44:00,27.64,94.17,17,725.4,2
2026-01-20 00:44:30,29.58,41.94,41,16.88,0
2026-01-20 00:49:00,29.39,57.11,55,2.19,0
2026-01-20 00:49:30,32.57,55.96,45,2.44,0
2026-01-20 00:53:00,26.34,87.73,0,46.75,1
2026-01-20 00:54:00,29.08,87.23,41,43.42,1
2026-01-20 00:56:00,29.49,81.14,32,58.77,1
2026-01-20 00:59:00,32.67,40.26,51,18.31,0
2026-01-20 00:59:30,28.58,86.52,21,818.55,2
2026-01-20 01:00:00,32.02,51.42,48,0,0
2026-01-20 01:01:00,26.11,98.02,18,732.48,2
2026-01-20 01:04:00,35.57,46.35,46,0,0
2026-01-20 01:05:00,34.71,48.45,41,11.54,0
2026-01-20 01:06:00,32.85,0,50,32.41,0
2026-01-20 01:09:00,33.74,50.96,48,0,0
2026-01-20 01:13:00,30.14,43.69,55,0,0
2026-01-20 01:14:00,0,58.22,49,0,0
2026-01-20 01:15:00,20.36,91.64,25,197.7,2
2026-01-20 01:18:00,34.02,52.91,40,0,0
2026-01-20 01:23:00,27.4,74.35,38,41.73,1
2026-01-20 01:24:00,30.76,84.27,43,61.09,1
2026-01-20 01:25:00,27.23,66.83,34,12.69,1
2026-01-20 01:27:00,22.15,98.6,7,791.89,2
2026-01-20 01:30:00,34.34,59.4,46,0.73,0
2026-01-20 01:32:00,30.45,48.68,46,0,0
2026-01-20 01:35:00,30.38,53.12,42,3.71,0
2026-01-20 01:36:00,29.5,78.76,37,63.66,1
2026-01-20 01:36:30,33.02,52.77,50,0,0
2026-01-20 01:37:00,30.8,40.49,48,0,0
2026-01-20 01:37:30,34.75,39.77,49,0,0
2026-01-20 01:41:00,27.96,80.36,42,81.71,1
2026-01-20 01:41:30,30.95,54.51,47,25.1,0
2026-01-20 01:46:00,25.17,86.15,12,648.56,2
2026-01-20 01:46:30,24.66,83.84,14,358.73,2
2026-01-20 01:47:00,23.58,87.18,32,157.41,2
2026-01-20 01:55:00,35.38,46.64,51,4.22,0
2026-01-20 01:56:00,33.75,59.65,50,0,0
2026-01-20 01:56:30,34.34,56.67,47,0,0
2026-01-20 02:07:00,29.23,75.31,33,69.81,1
2026-01-20 02:11:00,25.66,0,27,464.22,2
2026-01-20 02:14:00,28.66,78.96,41,61.7,1
2026-01-20 02:15:00,30.19,55.91,46,17,0
2026-01-20 02:15:30,23.97,96.92,4,703.95,2
2026-01-20 02:19:00,35.57,53.93,47,0,0
2026-01-20 02:19:30,33,44.16,50,0,0
2026-01-20 02:20:00,33.52,36.06,50,8.04,0
2026-01-20 02:23:00,23.9,89.64,16,651.4,2
2026-01-20 02:26:00,33.57,44.46,41,0,0
2026-01-20 02:26:30,31.87,42.45,46,29.97,0
2026-01-20 02:29:00,34.02,0,54,0,0
2026-01-20 02:29:20,24.53,96.47,29,253.76,2
2026-01-20 02:29:40,31.29,80.57,34,0,1
2026-01-20 02:31:00,27.13,78.09,38,20.76,1
2026-01-20 02:37:00,34.61,48.79,47,0,0
2026-01-20 02:39:00,25.84,90.72,6,636.61,2
2026-01-20 02:41:00,23.3,98.51,33,77.64,2
2026-01-20 02:41:12,34.15,50.46,51,6.23,0
2026-01-20 02:41:24,33,57.85,46,0,0
2026-01-20 02:41:36,33.21,58.55,53,0,0
2026-01-20 02:41:48,32.71,43.02,47,21.46,0
2026-01-20 02:43:00,25.66,95.74,0,777.22,2
2026-01-20 02:44:00,28.31,85.13,40,96.45,1
2026-01-20 02:46:00,23.06,95.08,17,423.56,2
2026-01-20 02:47:00,29.5,88.61,37,0.62,1
2026-01-20 02:47:30,22.85,101.2,23,407.91,2
2026-01-20 02:52:00,30.9,47.41,42,1.85,0
2026-01-20 02:53:00,27.57,97.12,19,239.19,2
2026-01-20 02:58:00,27.46,97.88,23,387.46,2
2026-01-20 02:59:00,29.83,50.84,48,0,0
2026-01-20 03:00:00,30.33,56.49,52,9.43,0
2026-01-20 03:01:00,34.33,44.51,40,0,0
2026-01-20 03:06:00,30.63,76.56,41,72.72,1
2026-01-20 03:07:00,22.99,87.44,25,543.17,2
2026-01-20 03:11:00,34.06,52.7,56,20.77,0
2026-01-20 03:12:00,31.21,74,36,12.31,1
2026-01-20 03:13:00,30.08,40.66,48,6.26,0
2026-01-20 03:19:00,22.34,88.34,17,730.32,2
2026-01-20 03:21:00,31.52,46.17,45,3.87,0
2026-01-20 03:21:30,32.24,58.8,48,23.33,0
2026-01-20 03:23:00,34.36,52.28,44,0,0
2026-01-20 03:23:30,31.13,48.37,45,5.53,0
2026-01-20 03:24:00,34.93,46.14,42,1.14,0
2026-01-20 03:25:00,34.25,47.59,39,14.3,0
2026-01-20 03:31:00,30.44,83.56,41,30.47,1
2026-01-20 03:34:00,35.69,57.8,50,23.3,0
2026-01-20 03:38:00,26.23,99.84,15,278.6,2
2026-01-20 03:40:00,34.41,55.69,53,13.78,0
2026-01-20 03:42:00,33.3,55.17,53,0,0
2026-01-20 03:43:00,25.26,83.73,28,336.86,2
2026-01-20 03:44:00,30.56,62.34,52,0,0
2026-01-20 03:49:00,22.84,89.34,20,206.59,2
2026-01-20 03:51:00,22.57,88.69,17,511.91,2
2026-01-20 03:51:20,31.12,47.14,52,4.45,0
2026-01-20 03:51:40,28.51,83.72,40,97.79,1
2026-01-20 03:54:00,28.45,85.98,38,7.92,1
2026-01-20 03:55:00,30.49,77.91,42,34.51,1
2026-01-20 03:55:30,30.2,88.2,43,73.7,1
2026-01-20 03:57:00,28.22,90.52,41,82.07,1
2026-01-20 03:57:30,30.63,56.68,49,11.88,0
2026-01-20 04:03:00,27.85,76.4,44,75.62,1
2026-01-20 04:03:30,28.82,78.38,39,57.63,1
2026-01-20 04:05:00,32.44,45.73,44,0,0
2026-01-20 04:06:00,29.13,86.41,40,73.5,1
2026-01-20 04:11:00,31.81,43.76,43,17.83,0
2026-01-20 04:14:00,27.57,94.82,27,482.39,2
2026-01-20 04:14:30,21.89,100.14,5,725.52,2
2026-01-20 04:19:00,29.07,39.09,45,17.43,0
2026-01-20 04:20:00,28.92,0,37,93.26,1
2026-01-20 04:23:00,31.49,77.8,38,23.87,1
2026-01-20 04:27:00,31.74,71.74,38,84.59,1
2026-01-20 04:28:00,33.19,48.36,48,0,0
2026-01-20 04:30:00,31.71,41.32,50,23.94,0
2026-01-20 04:31:00,33.3,42.23,0,10.98,0
2026-01-20 04:31:20,26.35,91.29,19,587.61,2
2026-01-20 04:31:40,23.56,91.09,19,569.99,2
2026-01-20 04:35:00,24.49,93.47,23,326.92,2
2026-01-20 04:35:30,31.03,41.78,53,3.98,0
2026-01-20 04:36:00,35.44,57.4,50,6.24,0
2026-01-20 04:36:30,31.29,35.3,52,0,0
2026-01-20 04:39:00,29.86,90.42,36,5.49,1
2026-01-20 04:40:00,29.56,80.55,38,46.46,1
2026-01-20 04:42:00,31.48,50.38,51,0,0
2026-01-20 04:44:00,32.34,87.66,39,73.66,1
2026-01-20 04:45:00,32.12,47.33,51,0,0
2026-01-20 04:47:00,30.09,87.61,46,17.81,1
2026-01-20 04:51:00,30.83,71.75,33,40.69,1
2026-01-20 04:55:00,25.98,90.35,38,171.37,2
2026-01-20 04:56:00,31.52,73.56,41,40.85,1
2026-01-20 04:58:00,31.16,37,44,0,0
2026-01-20 05:02:00,25.53,92.24,34,239.83,2
