timestamp,satellite_prn,satellite_elevation_deg,satellite_azimuth_deg,temperature_C,humidity_%,rain_intensity_mm_hr,rain_sensor_value,snr_measured_dbhz,label
2026-02-01 08:10,8.23,44.94,313.18,34.99,58.64,0.0,0.0,51,0
2026-01-25 02:12,2.94,22.2,200.38,33.96,55.17,0.57,0.0,47,0
2026-03-01 11:18,11.3,26.44,162.51,32.92,50.66,0.0,0.0,42,0
2026-02-21 07:00,26.7,77.68,58.32,31.32,40.02,1.36,0.0,44,0
2026-03-04 06:52,21.89,82.5,54.38,28.65,89.37,2.79,49.88,39,1
2026-02-17 10:59,22.89,65.15,178.29,31.59,74.04,2.35,48.58,41,1
2026-01-26 17:32,9.73,67.56,181.42,32.87,44.92,0.0,0.0,49,0
2026-01-22 07:37,5.35,57.27,0.0,23.39,87.45,18.49,375.51,22,2
2026-01-28 12:27,27.78,37.38,213.38,24.03,87.64,30.4,612.49,25,2
2026-02-15 22:07,24.25,47.31,291.65,25.22,91.48,33.56,670.03,14,2
2026-01-30 23:35,30.79,36.02,334.97,31.82,57.05,0.46,5.01,45,0
2026-02-16 00:33,2.78,37.17,38.27,25.34,93.02,22.55,450.85,27,2
2026-02-15 23:54,17.11,76.68,319.22,32.35,89.72,1.62,22.95,37,1
2026-03-04 15:59,30.12,47.34,115.78,28.27,84.79,1.18,42.0,38,1
2026-01-30 05:34,18.2,76.68,293.07,30.87,43.06,0.4,0.0,43,0
2026-02-11 18:20,27.74,17.49,347.9,31.04,55.48,0.65,0.0,47,0
2026-02-28 22:35,3.53,13.79,245.41,30.11,0.0,4.82,96.31,38,1
2026-02-08 03:31,14.15,71.97,214.46,34.15,42.72,0.0,9.7,51,0
2026-02-22 00:48,1.58,21.97,0.0,29.92,72.93,4.14,100.41,34,1
2026-01-20 20:34,2.35,13.63,16.86,25.92,99.52,6.26,140.9,28,2
2026-01-31 19:58,5.68,54.08,88.38,31.84,60.9,0.0,0.0,53,0
2026-02-25 13:25,7.9,13.27,42.46,27.64,94.17,37.3,725.4,17,2
2026-01-24 08:24,31.03,23.53,255.3,29.58,41.94,0.76,16.88,41,0
2026-02-02 21:03,28.34,74.26,260.47,29.39,57.11,0.0,2.19,55,0
2026-02-16 03:41,4.75,40.03,135.27,32.57,55.96,0.03,2.44,45,0
2026-03-02 00:16,22.05,18.53,121.01,26.34,87.73,1.37,46.75,0,1
2026-03-04 16:27,9.47,41.53,19.19,29.08,87.23,1.05,43.42,41,1
2026-01-28 21:41,1.17,14.02,198.38,29.49,81.14,4.04,58.77,32,1
2026-02-02 03:07,10.72,85.02,20.04,32.67,40.26,0.0,18.31,51,0
2026-02-10 19:11,5.87,25.16,335.26,28.58,86.52,40.16,818.55,21,2
2026-01-24 02:46,16.72,81.47,238.32,32.02,51.42,0.0,0.0,48,0
2026-01-24 02:24,2.86,81.32,343.42,26.11,98.02,35.28,732.48,18,2
2026-02-04 20:59,20.99,68.8,83.75,35.57,46.35,0.28,0.0,46,0
2026-02-09 16:02,7.51,36.94,238.68,34.71,48.45,0.0,11.54,41,0
2026-02-14 10:23,12.38,15.28,311.64,32.85,0.0,0.64,32.41,50,0
2026-02-13 13:57,7.44,59.79,250.87,33.74,50.96,0.38,0.0,48,0
2026-02-28 02:40,16.1,68.93,299.73,30.14,43.69,0.86,0.0,55,0
2026-02-17 13:26,1.09,83.3,174.48,0.0,58.22,0.34,0.0,49,0
2026-03-01 10:01,16.39,61.21,297.08,20.36,91.64,8.62,197.7,25,2
2026-01-24 15:29,13.09,58.65,327.19,34.02,52.91,0.0,0.0,40,0
2026-02-13 03:40,25.34,50.56,361.99,27.4,74.35,1.7,41.73,38,1
2026-02-11 23:21,17.08,28.44,146.75,30.76,84.27,2.73,61.09,43,1
2026-02-11 23:09,26.95,56.89,64.86,27.23,66.83,1.23,12.69,34,1
2026-02-06 12:10,25.86,61.35,268.82,22.15,98.6,39.04,791.89,7,2
2026-03-01 18:04,30.32,6.63,286.24,34.34,59.4,0.26,0.73,46,0
2026-02-16 17:46,7.67,43.29,188.51,30.45,48.68,0.87,0.0,46,0
2026-02-12 02:24,20.79,12.07,358.07,30.38,53.12,0.0,3.71,42,0
2026-02-24 08:36,15.49,6.16,108.62,29.5,78.76,3.29,63.66,37,1
2026-02-11 00:33,25.16,40.74,34.2,33.02,52.77,0.39,0.0,50,0
2026-02-27 10:57,16.18,5.12,363.75,30.8,40.49,0.12,0.0,48,0
2026-02-23 23:15,6.15,37.39,28.34,34.75,39.77,0.23,0.0,49,0
2026-01-22 07:35,13.82,65.56,102.68,27.96,80.36,4.9,81.71,42,1
2026-02-16 22:58,11.69,12.2,267.31,30.95,54.51,0.19,25.1,47,0
2026-02-10 11:40,5.28,14.87,185.13,25.17,86.15,32.58,648.56,12,2
2026-01-31 00:34,7.48,41.91,114.54,24.66,83.84,17.63,358.73,14,2
2026-02-07 23:09,30.43,15.99,149.02,23.58,87.18,0.0,157.41,32,2
2026-02-12 01:14,27.61,77.23,139.3,35.38,46.64,0.0,4.22,51,0
2026-01-31 19:03,2.86,49.93,230.58,33.75,59.65,0.48,0.0,50,0
2026-02-28 14:00,13.15,25.14,133.35,34.34,56.67,0.95,0.0,47,0
2026-02-10 16:39,28.45,56.77,240.89,29.23,75.31,5.27,69.81,33,1
2026-02-26 19:21,14.78,21.82,124.93,25.66,0.0,26.09,464.22,27,2
2026-03-04 04:38,27.91,71.44,279.48,28.66,78.96,4.02,61.7,41,1
2026-02-28 02:42,28.49,38.8,281.93,30.19,55.91,0.47,17.0,46,0
2026-02-15 17:33,16.45,23.7,170.86,23.97,96.92,37.06,703.95,4,2
2026-02-21 12:11,17.38,13.92,45.14,35.57,53.93,0.27,0.0,47,0
2026-02-05 10:55,27.63,56.82,340.07,33.0,44.16,0.0,0.0,50,0
2026-01-27 07:23,12.97,0.0,108.92,33.52,36.06,0.45,8.04,50,0
2026-02-23 20:20,18.46,67.46,89.46,23.9,89.64,29.93,651.4,16,2
2026-02-01 06:41,3.17,12.39,300.54,33.57,44.46,0.23,0.0,41,0
2026-01-27 15:58,26.7,70.28,253.69,31.87,42.45,0.46,29.97,46,0
2026-02-14 04:52,32.17,77.17,225.56,34.02,0.0,0.0,0.0,54,0
2026-02-17 09:56,26.71,64.2,88.01,24.53,96.47,11.86,253.76,29,2
2026-02-08 09:57,1.98,35.12,310.15,31.29,80.57,3.06,0.0,34,1
2026-02-23 16:27,30.72,0.0,130.86,27.13,78.09,0.0,20.76,38,1
2026-02-02 16:50,27.79,69.69,319.55,34.61,48.79,0.0,0.0,47,0
2026-02-12 08:33,11.38,28.31,122.56,25.84,90.72,31.62,636.61,6,2
2026-02-19 20:17,26.04,53.77,47.61,23.3,98.51,5.46,77.64,33,2
2026-02-15 21:16,21.86,77.49,54.39,34.15,50.46,0.69,6.23,51,0
2026-01-26 03:57,11.04,49.49,94.82,33.0,57.85,0.0,0.0,46,0
2026-02-17 11:34,29.08,64.82,152.21,33.21,58.55,0.99,0.0,53,0
2026-02-28 05:22,2.9,79.32,190.14,32.71,43.02,0.69,21.46,47,0
2026-01-23 06:33,23.17,18.19,334.51,25.66,95.74,38.26,777.22,0,2
2026-02-16 10:52,32.68,76.29,48.35,28.31,85.13,2.78,96.45,40,1
2026-01-22 04:43,29.76,31.05,348.88,23.06,95.08,21.89,423.56,17,2
2026-01-27 20:21,13.63,81.03,66.98,29.5,88.61,1.35,0.62,37,1
2026-02-25 21:08,17.77,8.12,298.19,22.85,101.2,20.02,407.91,23,2
2026-02-13 14:27,1.42,26.54,162.29,30.9,47.41,1.23,1.85,42,0
2026-02-27 20:19,25.15,21.46,224.18,27.57,97.12,13.27,239.19,19,2
2026-02-21 03:11,3.75,82.08,257.67,27.46,97.88,19.71,387.46,23,2
2026-03-04 16:44,16.24,53.27,229.36,29.83,50.84,0.0,0.0,48,0
2026-02-05 08:55,1.04,12.09,131.93,30.33,56.49,0.49,9.43,52,0
2026-02-09 16:38,32.45,31.78,21.19,34.33,44.51,0.0,0.0,40,0
2026-01-28 11:35,1.68,38.41,316.87,30.63,76.56,5.67,72.72,41,1
2026-02-24 18:20,8.85,21.94,11.24,22.99,87.44,26.73,543.17,25,2
2026-01-22 21:21,25.82,65.73,30.37,34.06,52.7,1.17,20.77,56,0
2026-02-04 23:18,27.32,83.72,337.78,31.21,74.0,1.22,12.31,36,1
2026-02-21 12:25,20.14,72.52,229.21,30.08,40.66,0.0,6.26,48,0
2026-02-11 20:02,13.12,12.75,363.14,22.34,88.34,36.47,730.32,17,2
2026-01-25 17:10,8.0,21.79,316.95,31.52,46.17,0.23,3.87,45,0
2026-02-20 00:09,2.89,59.45,206.96,32.24,58.8,0.65,23.33,48,0
