Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15,Mean_SNR,SNR_Var,Sat_Count,SNR_Diff
2071,34.0,56.5,0,0,37,36,37,38,36,37,36,38,38,,,,,,,37.0,0.7500000000000031,9,0.0
2136,34.2,52.8,0,0,38,37,38,38,36,37,37,38,38,,,,,,,37.44444444444444,0.5277777777777775,9,0.44444444444444287
2141,36.3,46.7,0,0,38,38,38,39,37,37,37,38,38,,,,,,,37.77777777777778,0.444444444444445,9,0.3333333333333357
4073,34.0,56.6,0,0,38,38,38,38,37,38,39,38,38,,,,,,,38.0,0.25000000000000144,9,0.22222222222222143
4125,36.1,48.5,0,0,35,35,37,38,38,37,39,38,38,,,,,,,37.22222222222222,1.9444444444444386,9,-0.7777777777777786
4135,34.3,54.2,0,0,33,34,36,36,37,37,38,37,38,,,,,,,36.22222222222222,2.9444444444444438,9,-1.0
6072,34.0,56.4,0,0,34,34,36,37,37,35,37,37,38,,,,,,,36.111111111111114,2.1111111111111107,9,-0.11111111111110716
6133,36.1,48.9,0,0,34,36,36,37,36,35,36,36,38,,,,,,,36.0,1.2499999999999991,9,-0.11111111111111427
6138,34.3,54.2,0,0,34,36,36,37,36,35,35,36,38,,,,,,,35.888888888888886,1.3611111111111107,9,-0.11111111111111427
8070,34.0,56.4,0,0,33,37,36,38,36,36,35,36,38,,,,,,,36.111111111111114,2.361111111111109,9,0.22222222222222854
8094,36.0,48.9,0,0,36,37,36,38,36,37,36,36,38,,,,,,,36.666666666666664,0.7499999999999991,9,0.55555555555555
8137,34.4,54.3,0,0,36,38,36,40,37,37,36,36,38,,,,,,,37.111111111111114,1.861111111111109,9,0.44444444444444997
10072,34.0,56.5,0,0,37,39,37,38,37,37,36,36,38,,,,,,,37.22222222222222,0.9444444444444442,9,0.11111111111110716
10089,35.9,49.1,0,0,38,39,37,38,38,37,36,36,38,,,,,,,37.44444444444444,1.027777777777781,9,0.22222222222222143
10138,34.4,54.6,0,0,38,38,36,37,38,36,36,36,38,,,,,,,37.0,0.9999999999999999,9,-0.44444444444444287
12071,34.0,56.5,0,0,38,37,36,37,37,36,36,37,38,,,,,,,36.888888888888886,0.6111111111111122,9,-0.11111111111111427
12134,35.8,49.2,0,0,38,36,36,36,37,35,36,37,38,,,,,,,36.55555555555556,1.0277777777777777,9,-0.3333333333333286
12139,34.3,54.8,0,0,37,36,36,36,37,35,36,37,38,,,,,,,36.44444444444444,0.7777777777777781,9,-0.11111111111111427
14070,34.0,56.6,0,0,36,37,36,35,38,35,37,38,38,,,,,,,36.666666666666664,1.500000000000001,9,0.22222222222222143
14137,34.1,55.1,0,0,36,36,35,35,38,35,37,38,38,,,,,,,36.44444444444444,1.7777777777777777,9,-0.22222222222222143
16068,34.0,56.5,0,0,36,36,37,36,38,36,37,38,38,,,,,,,36.888888888888886,0.8611111111111116,9,0.44444444444444287
16139,34.1,55.2,0,0,36,36,37,36,37,37,37,38,38,,,,,,,36.888888888888886,0.611111111111112,9,0.0
18071,34.0,56.5,0,0,36,37,38,36,36,37,37,37,38,,,,,,,36.888888888888886,0.6111111111111112,9,0.0
18137,34.0,55.4,0,0,36,36,38,35,36,37,37,37,38,,,,,,,36.666666666666664,0.9999999999999998,9,-0.22222222222222143
20066,34.0,56.5,0,0,36,36,37,35,37,37,37,37,38,,,,,,,36.666666666666664,0.7499999999999991,9,0.0
20136,34.0,55.3,0,0,36,35,37,35,37,38,36,37,38,,,,,,,36.55555555555556,1.277777777777777,9,-0.11111111111110716
22064,34.0,56.6,0,0,36,35,36,35,37,38,36,38,38,,,,,,,36.55555555555556,1.5277777777777801,9,0.0
22137,34.0,55.2,0,0,35,35,36,36,37,38,36,38,38,,,,,,,36.55555555555556,1.5277777777777797,9,0.0
24069,34.0,56.8,0,0,35,36,36,37,37,39,36,38,38,,,,,,,36.888888888888886,1.6111111111111058,9,0.3333333333333286
24137,34.0,55.2,0,0,35,36,35,37,36,38,36,38,38,,,,,,,36.55555555555556,1.5277777777777792,9,-0.3333333333333286
26070,34.0,56.8,0,0,36,36,36,38,35,36,35,38,38,,,,,,,36.44444444444444,1.5277777777777743,9,-0.11111111111111427
26138,34.0,55.3,0,0,36,36,36,37,34,36,35,38,38,,,,,,,36.22222222222222,1.6944444444444497,9,-0.22222222222222143
28069,34.0,56.9,0,0,37,37,37,38,36,36,36,38,38,,,,,,,37.0,0.7500000000000004,9,0.7777777777777786
28137,34.0,55.6,0,0,36,36,36,37,37,37,37,39,38,,,,,,,37.0,1.0000000000000009,9,0.0
30070,34.0,57.0,0,0,36,36,37,37,38,37,38,39,38,,,,,,,37.333333333333336,1.0000000000000062,9,0.3333333333333357
30136,34.0,56.0,0,0,37,36,36,36,37,37,38,39,38,,,,,,,37.111111111111114,1.1111111111111107,9,-0.22222222222222143
32069,33.9,57.1,0,0,38,36,36,36,36,36,37,38,37,,,,,,,36.666666666666664,0.750000000000003,9,-0.44444444444444997
32136,34.0,56.2,0,0,38,36,36,36,36,37,37,38,37,,,,,,,36.77777777777778,0.6944444444444444,9,0.11111111111111427
34072,33.9,56.9,0,0,37,36,36,37,36,36,38,38,37,,,,,,,36.77777777777778,0.6944444444444456,9,0.0
34138,34.0,56.4,0,0,36,36,37,37,37,38,38,37,37,,,,,,,37.0,0.49999999999999856,9,0.22222222222222143
36072,33.9,56.7,0,0,36,36,36,37,38,37,38,37,37,,,,,,,36.888888888888886,0.6111111111111092,9,-0.11111111111111427
36139,34.0,56.5,0,0,36,36,36,36,37,37,37,37,37,,,,,,,36.55555555555556,0.2777777777777764,9,-0.3333333333333286
38071,34.0,56.5,0,0,36,36,36,36,36,36,37,38,37,,,,,,,36.44444444444444,0.5277777777777769,9,-0.11111111111111427
38138,33.9,56.6,0,0,36,35,35,35,35,36,37,38,37,,,,,,,36.0,1.249999999999993,9,-0.44444444444444287
40071,33.9,56.6,0,0,37,35,36,35,35,36,37,38,37,,,,,,,36.22222222222222,1.194444444444442,9,0.22222222222222143
42072,34.0,56.5,0,0,37,35,36,37,36,36,37,38,37,,,,,,,36.55555555555556,0.7777777777777733,9,0.3333333333333357
44070,33.9,56.6,0,0,37,36,37,38,36,37,36,37,37,,,,,,,36.77777777777778,0.44444444444444453,9,0.22222222222222143
46070,33.9,56.6,0,0,36,36,37,37,36,37,36,37,37,,,,,,,36.55555555555556,0.27777777777777724,9,-0.22222222222222143
48070,34.0,56.5,0,0,36,37,37,36,36,37,36,37,37,,,,,,,36.55555555555556,0.2777777777777777,9,0.0
50071,34.0,56.6,0,0,36,37,37,37,36,36,37,37,37,,,,,,,36.666666666666664,0.2500000000000008,9,0.11111111111110716
52071,33.9,56.8,0,0,37,37,37,38,36,36,37,37,37,,,,,,,36.888888888888886,0.36111111111111127,9,0.22222222222222143
54071,33.9,57.0,0,0,37,37,36,39,36,35,36,37,37,,,,,,,36.666666666666664,1.2499999999999996,9,-0.22222222222222143
56072,33.9,57.3,0,0,37,37,36,39,37,36,36,38,37,,,,,,,37.0,1.0000000000000007,9,0.3333333333333357
58072,33.9,57.4,0,0,36,37,36,39,36,36,36,38,37,,,,,,,36.77777777777778,1.194444444444443,9,-0.22222222222222143
60070,33.8,57.4,0,0,34,37,37,38,35,36,36,37,37,,,,,,,36.333333333333336,1.5000000000000004,9,-0.44444444444444287
62070,33.8,57.4,0,0,34,35,37,37,34,35,37,37,37,,,,,,,35.888888888888886,1.8611111111111116,9,-0.44444444444444997
64071,33.9,57.4,0,0,34,35,37,37,34,34,37,36,37,,,,,,,35.666666666666664,2.0000000000000036,9,-0.22222222222222143
66071,34.0,57.2,0,0,35,35,36,37,34,35,36,36,37,,,,,,,35.666666666666664,1.0000000000000033,9,0.0
68072,33.9,57.3,0,0,35,36,35,37,35,35,35,36,37,,,,,,,35.666666666666664,0.7500000000000004,9,0.0
70071,34.0,57.3,0,0,36,35,34,36,35,36,34,36,37,,,,,,,35.44444444444444,1.0277777777777783,9,-0.22222222222222143
72072,33.9,57.4,0,0,35,36,34,35,34,35,34,35,37,,,,,,,35.0,1.000000000000003,9,-0.44444444444444287
74072,33.9,57.3,0,0,35,35,35,35,35,36,34,35,37,,,,,,,35.22222222222222,0.6944444444444446,9,0.22222222222222143
76070,33.9,57.1,0,0,34,36,35,35,34,35,34,36,37,,,,,,,35.111111111111114,1.1111111111111147,9,-0.11111111111110716
78070,33.9,56.8,0,0,35,34,35,35,34,35,35,36,37,,,,,,,35.111111111111114,0.86111111111111,9,0.0
80070,33.9,56.6,0,0,34,34,34,35,34,34,34,35,37,,,,,,,34.55555555555556,1.0277777777777772,9,-0.5555555555555571
82072,33.9,56.3,0,0,33,34,35,35,34,34,34,34,37,,,,,,,34.44444444444444,1.2777777777777788,9,-0.11111111111111427
84071,34.0,56.0,0,0,33,35,35,34,35,35,33,34,37,,,,,,,34.55555555555556,1.527777777777777,9,0.11111111111111427
86072,33.9,55.9,0,0,34,36,35,34,35,36,35,35,37,,,,,,,35.22222222222222,0.9444444444444451,9,0.6666666666666643
88072,33.9,55.6,0,0,34,36,33,33,35,35,34,34,37,,,,,,,34.55555555555556,1.7777777777777772,9,-0.6666666666666643
90072,34.0,55.3,0,0,34,35,33,34,34,34,33,34,37,,,,,,,34.22222222222222,1.4444444444444442,9,-0.3333333333333357
92071,33.9,55.3,0,0,35,34,32,34,34,34,32,34,37,,,,,,,34.0,2.2499999999999982,9,-0.22222222222222143
94071,33.9,55.2,0,0,35,34,32,34,34,34,32,34,37,,,,,,,34.0,2.2499999999999982,9,0.0
96071,33.9,55.1,0,0,34,33,32,34,34,34,33,34,37,,,,,,,33.888888888888886,1.8611111111111127,9,-0.11111111111111427
98072,33.7,55.0,0,0,33,33,33,34,34,33,33,34,37,,,,,,,33.77777777777778,1.694444444444444,9,-0.11111111111110716
100073,33.9,54.9,0,0,33,32,33,35,34,33,33,34,37,,,,,,,33.77777777777778,2.1944444444444446,9,0.0
102073,33.9,54.9,0,0,33,33,33,34,34,33,33,33,37,,,,,,,33.666666666666664,1.7500000000000007,9,-0.11111111111111427
104072,33.8,55.2,0,0,33,33,33,34,34,33,33,33,37,,,,,,,33.666666666666664,1.7500000000000007,9,0.0
