Time(ms),Temp(C),Humidity(%),SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,RainLabel
2141.0,36.3,46.7,40.0,39.0,38.0,40.0,26.0,26.0,26.0,29.0,26.0,0
4125.0,36.1,48.5,28.0,28.0,26.0,27.0,26.0,26.0,26.0,29.0,26.0,0
6133.0,36.1,48.9,29.0,25.0,26.0,27.0,26.0,26.0,26.0,29.0,26.0,0
8094.0,36.0,48.9,25.0,25.0,26.0,27.0,26.0,26.0,26.0,29.0,26.0,0
10089.0,35.9,49.1,25.0,25.0,26.0,27.0,26.0,26.0,26.0,29.0,26.0,0
12134.0,35.8,49.2,25.0,25.0,26.0,27.0,26.0,26.0,26.0,29.0,26.0,0
2136.0,34.2,52.8,38.0,38.0,39.0,38.0,26.0,26.0,26.0,29.0,26.0,0
4135.0,34.3,54.2,36.0,36.0,36.0,36.0,26.0,26.0,26.0,29.0,26.0,0
6138.0,34.3,54.2,36.0,36.0,35.0,36.0,26.0,26.0,26.0,29.0,26.0,0
8137.0,34.4,54.3,37.0,38.0,36.0,39.0,26.0,26.0,26.0,29.0,26.0,0
10138.0,34.4,54.6,38.0,37.0,35.0,37.0,26.0,26.0,26.0,29.0,26.0,0
12139.0,34.3,54.8,36.0,37.0,35.0,35.0,26.0,26.0,26.0,29.0,26.0,0
14137.0,34.1,55.1,37.0,35.0,35.0,36.0,26.0,26.0,26.0,29.0,26.0,0
16139.0,34.1,55.2,36.0,36.0,38.0,35.0,36.0,26.0,26.0,29.0,26.0,0
18137.0,34.0,55.4,36.0,35.0,39.0,35.0,37.0,26.0,26.0,29.0,26.0,0
20136.0,34.0,55.3,36.0,34.0,37.0,35.0,26.0,26.0,26.0,29.0,26.0,0
22137.0,34.0,55.2,35.0,36.0,35.0,37.0,26.0,26.0,26.0,29.0,26.0,0
24137.0,34.0,55.2,35.0,34.0,34.0,37.0,26.0,26.0,26.0,29.0,26.0,0
26138.0,34.0,55.3,37.0,37.0,36.0,36.0,26.0,26.0,26.0,29.0,26.0,0
28137.0,34.0,55.6,36.0,36.0,36.0,36.0,26.0,26.0,26.0,29.0,26.0,0
30136.0,34.0,56.0,37.0,3.0,36.0,36.0,37.0,39.0,26.0,29.0,26.0,0
32136.0,34.0,56.2,37.0,36.0,37.0,36.0,37.0,37.0,26.0,29.0,26.0,0
34138.0,34.0,56.4,36.0,5.0,37.0,36.0,37.0,38.0,26.0,29.0,26.0,0
36139.0,34.0,56.5,35.0,36.0,36.0,36.0,36.0,26.0,26.0,29.0,26.0,0
38138.0,33.9,56.6,37.0,34.0,33.0,34.0,34.0,26.0,26.0,29.0,26.0,0
2071.0,34.0,56.5,37.0,36.0,37.0,38.0,36.0,37.0,36.0,29.0,26.0,0
4073.0,34.0,56.6,36.0,38.0,37.0,37.0,38.0,38.0,40.0,38.0,38.0,0
6072.0,34.0,56.4,37.0,37.0,36.0,38.0,36.0,34.0,35.0,36.0,26.0,0
8070.0,34.0,56.4,35.0,38.0,37.0,40.0,36.0,37.0,26.0,29.0,26.0,0
10072.0,34.0,56.5,39.0,40.0,38.0,37.0,38.0,37.0,36.0,36.0,26.0,0
12071.0,34.0,56.5,38.0,36.0,36.0,36.0,37.0,35.0,36.0,37.0,26.0,0
14070.0,34.0,56.6,36.0,37.0,36.0,35.0,38.0,35.0,37.0,38.0,26.0,0
16068.0,34.0,56.5,36.0,37.0,39.0,36.0,37.0,37.0,26.0,29.0,26.0,0
18071.0,34.0,56.5,36.0,37.0,36.0,36.0,36.0,37.0,37.0,37.0,26.0,0
20066.0,34.0,56.5,37.0,35.0,36.0,27.0,26.0,26.0,26.0,29.0,26.0,0
22064.0,34.0,56.6,34.0,25.0,26.0,27.0,26.0,26.0,26.0,29.0,26.0,0
24069.0,34.0,56.8,35.0,38.0,37.0,37.0,37.0,39.0,26.0,29.0,26.0,0
26070.0,34.0,56.8,37.0,37.0,38.0,39.0,33.0,34.0,35.0,29.0,26.0,0
28069.0,34.0,56.9,36.0,36.0,37.0,39.0,38.0,38.0,37.0,29.0,26.0,0
30070.0,34.0,57.0,37.0,36.0,37.0,36.0,37.0,36.0,38.0,39.0,26.0,0
32069.0,33.9,57.1,39.0,37.0,35.0,37.0,33.0,34.0,36.0,29.0,26.0,0
34072.0,33.9,56.9,35.0,35.0,36.0,38.0,37.0,38.0,39.0,37.0,26.0,0
36072.0,33.9,56.7,37.0,36.0,35.0,37.0,39.0,36.0,36.0,37.0,26.0,0
38071.0,34.0,56.5,36.0,35.0,36.0,35.0,34.0,36.0,38.0,38.0,26.0,0
40071.0,33.9,56.6,37.0,36.0,38.0,37.0,38.0,36.0,36.0,38.0,26.0,0
42072.0,34.0,56.5,37.0,36.0,37.0,39.0,35.0,36.0,37.0,37.0,26.0,0
44070.0,33.9,56.6,36.0,37.0,37.0,37.0,36.0,38.0,36.0,37.0,26.0,0
46070.0,33.9,56.6,36.0,36.0,36.0,35.0,36.0,37.0,36.0,37.0,26.0,0
48070.0,34.0,56.5,36.0,38.0,39.0,37.0,36.0,37.0,37.0,37.0,26.0,0
50071.0,34.0,56.6,37.0,37.0,36.0,38.0,36.0,34.0,37.0,36.0,26.0,0
52071.0,33.9,56.8,37.0,36.0,37.0,38.0,37.0,36.0,37.0,37.0,26.0,0
54071.0,33.9,57.0,38.0,37.0,36.0,40.0,36.0,36.0,35.0,38.0,26.0,0
56072.0,33.9,57.3,35.0,38.0,35.0,39.0,37.0,36.0,35.0,38.0,26.0,0
58072.0,33.9,57.4,34.0,36.0,38.0,39.0,35.0,36.0,37.0,38.0,26.0,0
60070.0,33.8,57.4,34.0,36.0,37.0,36.0,33.0,35.0,36.0,36.0,26.0,0
62070.0,33.8,57.4,33.0,34.0,37.0,36.0,33.0,34.0,38.0,37.0,26.0,0
64071.0,33.9,57.4,36.0,36.0,37.0,38.0,35.0,34.0,37.0,36.0,26.0,0
66071.0,34.0,57.2,35.0,34.0,34.0,36.0,35.0,37.0,34.0,36.0,26.0,0
68072.0,33.9,57.3,35.0,37.0,33.0,36.0,34.0,33.0,35.0,36.0,26.0,0
70071.0,34.0,57.3,37.0,34.0,34.0,35.0,36.0,37.0,34.0,35.0,26.0,0
72072.0,33.9,57.4,33.0,37.0,35.0,35.0,33.0,35.0,34.0,35.0,26.0,0
74072.0,33.9,57.3,35.0,35.0,35.0,35.0,35.0,35.0,34.0,36.0,26.0,0
76070.0,33.9,57.1,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,26.0,0
78070.0,33.9,56.8,34.0,32.0,35.0,36.0,33.0,34.0,35.0,35.0,26.0,0
80070.0,33.9,56.6,32.0,34.0,33.0,33.0,34.0,34.0,32.0,33.0,26.0,0
82072.0,33.9,56.3,34.0,35.0,37.0,36.0,34.0,35.0,34.0,35.0,26.0,0
84071.0,34.0,56.0,34.0,36.0,34.0,33.0,36.0,36.0,34.0,35.0,26.0,0
86072.0,33.9,55.9,35.0,36.0,34.0,33.0,35.0,36.0,36.0,34.0,26.0,0
